#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.87617     1.87617           0
           2     1.84201     1.85909   0.0120794
           3     1.82691     1.84836   0.0118984
           4     1.79689     1.83549   0.0142757
           5      1.7941     1.82722   0.0136108
           6     1.81485     1.82515   0.0114974
           7     1.83741      1.8269  0.00998721
           8     1.81097     1.82491  0.00893517
           9      1.8076     1.82299  0.00814676
          10     1.79564     1.82025   0.0077776
          11     1.77399     1.81605  0.00812879
          12     1.80419     1.81506  0.00751122
          13     1.81052     1.81471  0.00694156
          14     1.77819      1.8121  0.00691858
          15     1.80778     1.81181  0.00646334
          16     1.81801      1.8122  0.00607096
          17     1.79921     1.81144  0.00576175
          18     1.74272     1.80762  0.00658597
          19     1.70828     1.80239  0.00805153
          20      1.7488     1.79971  0.00808253
          21     1.76442     1.79803   0.0078704
          22     1.76105     1.79635  0.00769009
          23     1.71493     1.79281  0.00812972
          24     1.74361     1.79076  0.00804533
          25     1.77094     1.78997  0.00776247
          26      1.7437     1.78819  0.00766516
          27     1.75742     1.78705   0.0074655
          28     1.76473     1.78625   0.0072413
          29     1.73329     1.78442  0.00721818
          30      1.7017     1.78167   0.0074858
          31     1.73818     1.78026   0.0073746
          32     1.77295     1.78004  0.00714769
          33     1.75442     1.77926  0.00697313
          34     1.77114     1.77902  0.00677212
          35     1.81444     1.78003  0.00665382
          36     1.84535     1.78185  0.00671183
          37     1.80186     1.78239  0.00655218
          38     1.80782     1.78306  0.00641386
          39     1.85223     1.78483  0.00649002
          40     1.81753     1.78565  0.00637905
          41     1.83654     1.78689  0.00634308
          42     1.82271     1.78774  0.00624914
          43     1.79084     1.78781  0.00610422
          44     1.77431     1.78751   0.0059732
          45      1.7154     1.78591  0.00605157
          46     1.77953     1.78577   0.0059216
          47     1.76943     1.78542  0.00580579
          48     1.79464     1.78561  0.00568801
          49      1.7975     1.78585   0.0055771
          50      1.7917     1.78597  0.00546679
          51     1.78326     1.78592  0.00535986
          52     1.75582     1.78534  0.00528794
          53     1.81364     1.78587  0.00521506
          54     1.82334     1.78657  0.00516443
          55     1.80415     1.78689  0.00508041
          56     1.86772     1.78833  0.00519072
          57     1.80863     1.78869  0.00511186
          58     1.81609     1.78916  0.00504552
          59     1.83175     1.78988  0.00501137
          60     1.83179     1.79058  0.00497629
          61     1.76268     1.79012  0.00491568
          62     1.77641      1.7899  0.00484137
          63     1.82693     1.79049  0.00480007
          64     1.76185     1.79004  0.00474587
          65     1.77587     1.78982  0.00467787
          66     1.79256     1.78986  0.00460717
          67     1.75707     1.78937  0.00456433
          68     1.77156     1.78911  0.00450472
          69     1.79446     1.78919   0.0044401
          70     1.75783     1.78874  0.00439921
          71     1.76185     1.78836  0.00435353
          72     1.79911     1.78851  0.00429562
          73     1.81872     1.78893  0.00425665
          74     1.82699     1.78944  0.00423009
          75     1.78834     1.78943  0.00417371
          76     1.75223     1.78894   0.0041474
          77     1.76323      1.7886  0.00410695
          78     1.77838     1.78847  0.00405639
          79     1.72997     1.78773  0.00407207
          80       1.765     1.78745  0.00403107
          81     1.78183     1.78738   0.0039819
          82     1.85102     1.78815  0.00400827
          83     1.78628     1.78813  0.00396004
          84     1.79644     1.78823  0.00391413
          85      1.7694     1.78801  0.00387435
          86     1.76358     1.78772   0.0038397
          87      1.7885     1.78773  0.00379558
          88     1.74837     1.78729  0.00377871
          89     1.73162     1.78666  0.00378766
          90     1.75491     1.78631  0.00376197
          91     1.78565      1.7863  0.00372064
          92      1.7576     1.78599  0.00369325
          93     1.73921     1.78549  0.00368763
          94     1.74824     1.78509  0.00366963
          95     1.75627     1.78479  0.00364352
          96      1.7812     1.78475  0.00360575
          97     1.77927     1.78469  0.00356902
          98     1.78058     1.78465  0.00353285
          99     1.82497     1.78506  0.00352056
         100     1.84377     1.78564  0.00353398
