#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.484088   -0.484088           0
           2   -0.450077   -0.467082   0.0120245
           3   -0.435001   -0.456388   0.0118534
           4   -0.404896   -0.443515    0.014259
           5   -0.402091   -0.435231   0.0136027
           6   -0.422839   -0.433165   0.0114913
           7   -0.445348   -0.434906  0.00998062
           8   -0.418867   -0.432901  0.00893213
           9    -0.41552    -0.43097  0.00814578
          10   -0.403527   -0.428226  0.00777974
          11   -0.381807   -0.424006  0.00813687
          12   -0.411993   -0.423005  0.00752012
          13   -0.418261    -0.42264   0.0069505
          14   -0.385958    -0.42002  0.00693031
          15   -0.415858   -0.419742  0.00647385
          16   -0.426014   -0.420134  0.00608109
          17   -0.407221   -0.419374  0.00577062
          18   -0.350537    -0.41555  0.00659664
          19   -0.316121   -0.410317  0.00806223
          20   -0.356649   -0.407634  0.00809337
          21   -0.372287   -0.405951  0.00788105
          22   -0.368921   -0.404267  0.00770046
          23   -0.322723   -0.400722  0.00814102
          24   -0.351441   -0.398669  0.00805661
          25   -0.378798   -0.397874  0.00777345
          26   -0.351671   -0.396097   0.0076749
          27   -0.365429   -0.394961  0.00747422
          28   -0.372787   -0.394169  0.00724912
          29   -0.341165   -0.392341  0.00722588
          30   -0.309596   -0.389583  0.00749296
          31   -0.346028   -0.388178   0.0073818
          32   -0.380696   -0.387944  0.00715482
          33   -0.362192   -0.387164  0.00698044
          34   -0.379033   -0.386925  0.00677923
          35   -0.422298   -0.387935  0.00666045
          36   -0.453222   -0.389749  0.00671779
          37   -0.409551   -0.390284  0.00655751
          38   -0.415604    -0.39095  0.00641871
          39    -0.46008   -0.392723  0.00649427
          40   -0.425469   -0.393542   0.0063833
          41   -0.444461   -0.394784  0.00634727
          42   -0.430607   -0.395636   0.0062532
          43   -0.398777    -0.39571   0.0061082
          44   -0.382172   -0.395402  0.00597712
          45    -0.32327   -0.393799  0.00605542
          46   -0.387354   -0.393659   0.0059254
          47   -0.377315   -0.393311  0.00580952
          48    -0.40257   -0.393504  0.00569169
          49   -0.405367   -0.393746  0.00558068
          50   -0.399478   -0.393861  0.00547024
          51   -0.391048   -0.393806  0.00536326
          52   -0.363656   -0.393226  0.00529137
          53   -0.421537    -0.39376  0.00521843
          54   -0.431241   -0.394454  0.00516774
          55   -0.412047   -0.394774  0.00508368
          56   -0.475707   -0.396219  0.00519427
          57   -0.416487   -0.396575   0.0051153
          58   -0.423932   -0.397046   0.0050488
          59   -0.439593   -0.397768  0.00501447
          60   -0.439533   -0.398464  0.00497897
          61   -0.370406   -0.398004  0.00491855
          62   -0.384255   -0.397782  0.00484421
          63    -0.43473   -0.398368  0.00480269
          64    -0.36982   -0.397922  0.00474832
          65   -0.383815   -0.397705  0.00468023
          66   -0.400375   -0.397746  0.00460949
          67   -0.364867   -0.397255  0.00456674
          68   -0.379439   -0.396993  0.00450709
          69   -0.402231   -0.397069  0.00444241
          70   -0.365676    -0.39662  0.00440152
          71   -0.369662   -0.396241  0.00435588
          72   -0.407029   -0.396391  0.00429795
          73   -0.426597   -0.396804  0.00425895
          74   -0.434886   -0.397319  0.00423238
          75   -0.396083   -0.397303  0.00417598
          76   -0.360049   -0.396812   0.0041497
          77   -0.371029   -0.396478  0.00410929
          78   -0.386117   -0.396345  0.00405876
          79   -0.337771   -0.395603  0.00407454
          80   -0.372896   -0.395319  0.00403348
          81   -0.389776   -0.395251  0.00398427
          82   -0.459014   -0.396029  0.00401084
          83    -0.39412   -0.396006  0.00396258
          84   -0.404254   -0.396104  0.00391662
          85   -0.377252   -0.395882  0.00387682
          86   -0.371481   -0.395598  0.00384211
          87   -0.396482   -0.395608  0.00379796
          88   -0.356233   -0.395161  0.00378107
          89   -0.339513   -0.394536  0.00378993
          90   -0.362701   -0.394182  0.00376429
          91   -0.393567   -0.394175  0.00372293
          92   -0.365503   -0.393864  0.00369548
          93   -0.347119   -0.393361  0.00368977
          94   -0.356095   -0.392964  0.00367176
          95   -0.364205   -0.392662  0.00364556
          96   -0.389037   -0.392624  0.00360779
          97   -0.386949   -0.392566  0.00357107
          98   -0.388365   -0.392523  0.00353488
          99   -0.432867    -0.39293  0.00352259
         100   -0.451654   -0.393517  0.00353597
