#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0624068   0.0624068           0
           2   0.0613186   0.0618627 0.000384705
           3   0.0607855   0.0615036 0.000389534
           4   0.0598142   0.0610813 0.000468122
           5   0.0596749      0.0608 0.000451156
           6   0.0603813   0.0607302 0.000381321
           7   0.0611161   0.0607853 0.000330807
           8    0.060265   0.0607203 0.000295782
           9   0.0601751   0.0606597 0.000269049
          10   0.0597384   0.0605676 0.000257434
          11   0.0590469   0.0604293 0.000268598
          12   0.0600429   0.0603971 0.000248137
          13   0.0602775   0.0603879  0.00022922
          14   0.0591695   0.0603009 0.000228773
          15   0.0601914   0.0602936 0.000213638
          16   0.0605455   0.0603093 0.000200865
          17    0.059928   0.0602869 0.000190298
          18   0.0580529   0.0601628 0.000216446
          19   0.0568618   0.0599891 0.000265788
          20   0.0581906   0.0598991 0.000267278
          21    0.058733   0.0598436 0.000260255
          22   0.0586037   0.0597873 0.000254454
          23   0.0570746   0.0596693 0.000269341
          24   0.0579989   0.0595997  0.00026696
          25   0.0589331    0.059573  0.00025761
          26   0.0580568   0.0595147 0.000254217
          27   0.0585006   0.0594772 0.000247561
          28   0.0587469   0.0594511 0.000240089
          29    0.057694   0.0593905 0.000239333
          30   0.0566532   0.0592993  0.00024814
          31   0.0578535   0.0592526 0.000244478
          32     0.05902   0.0592453 0.000236946
          33   0.0583869   0.0592193  0.00023119
          34   0.0589351    0.059211 0.000224541
          35   0.0603704   0.0592441 0.000220556
          36   0.0614129   0.0593043 0.000222505
          37   0.0600007   0.0593232 0.000217286
          38   0.0601936   0.0593461 0.000212772
          39   0.0616658   0.0594056 0.000215469
          40   0.0605121   0.0594332 0.000211851
          41    0.061135   0.0594747 0.000210711
          42   0.0606487   0.0595027 0.000207539
          43     0.05959   0.0595047 0.000202723
          44   0.0590317    0.059494   0.0001984
          45   0.0570957   0.0594407 0.000201022
          46    0.059237   0.0594362   0.0001967
          47   0.0589007   0.0594248 0.000192845
          48   0.0597405   0.0594314  0.00018894
          49   0.0598217   0.0594394 0.000185252
          50   0.0596171   0.0594429 0.000181581
          51   0.0593662   0.0594414 0.000178026
          52   0.0584266   0.0594219 0.000175669
          53   0.0603808     0.05944 0.000173284
          54   0.0606941   0.0594632 0.000171624
          55   0.0600456   0.0594738  0.00016883
          56    0.062127   0.0595212 0.000172335
          57   0.0601985   0.0595331 0.000169721
          58   0.0604379   0.0595487  0.00016751
          59   0.0609488   0.0595724 0.000166343
          60   0.0609707   0.0595957 0.000165195
          61   0.0586372     0.05958 0.000163233
          62   0.0590945   0.0595722 0.000160788
          63   0.0608279   0.0595921 0.000159466
          64   0.0586233    0.059577 0.000157691
          65   0.0591222     0.05957 0.000155421
          66   0.0596415   0.0595711 0.000153069
          67   0.0584819   0.0595548 0.000151646
          68    0.058957    0.059546  0.00014967
          69   0.0597238   0.0595486 0.000147523
          70    0.058497   0.0595336 0.000146179
          71   0.0586343   0.0595209 0.000144667
          72   0.0598549   0.0595255 0.000142732
          73    0.060481   0.0595386 0.000141376
          74   0.0608076   0.0595558 0.000140502
          75   0.0595148   0.0595552 0.000138629
          76   0.0583264   0.0595391 0.000137745
          77   0.0586825   0.0595279 0.000136404
          78   0.0591747   0.0595234 0.000134731
          79   0.0575596   0.0594986 0.000135299
          80   0.0587468   0.0594892 0.000133934
          81   0.0593083   0.0594869 0.000132299
          82   0.0615935   0.0595126 0.000133156
          83   0.0594257   0.0595116 0.000131556
          84   0.0597775   0.0595147 0.000130028
          85   0.0588907   0.0595074 0.000128705
          86   0.0587132   0.0594982  0.00012754
          87   0.0595276   0.0594985 0.000126074
          88   0.0581536   0.0594832 0.000125564
          89   0.0576307   0.0594624 0.000125867
          90     0.05841   0.0594507  0.00012501
          91   0.0594378   0.0594506 0.000123637
          92   0.0584964   0.0594402 0.000122727
          93   0.0578915   0.0594235 0.000122532
          94   0.0582004   0.0594105 0.000121917
          95   0.0584532   0.0594004  0.00012105
          96   0.0592874   0.0593993 0.000119795
          97   0.0592136   0.0593974 0.000118575
          98   0.0592805   0.0593962 0.000117371
          99   0.0607551   0.0594099 0.000116985
         100   0.0613211    0.059429 0.000117366
