#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.25078     1.25078           0
           2       1.228     1.23939  0.00805292
           3     1.21794     1.23224  0.00793225
           4     1.19793     1.22366  0.00951713
           5     1.19607     1.21814  0.00907389
           6      1.2099     1.21677  0.00766491
           7     1.22494     1.21794  0.00665814
           8     1.20731     1.21661  0.00595678
           9     1.20507     1.21533  0.00543117
          10     1.19709      1.2135  0.00518507
          11     1.18266      1.2107  0.00541919
          12     1.20279     1.21004  0.00500748
          13     1.20701     1.20981  0.00462771
          14     1.18546     1.20807  0.00461239
          15     1.20519     1.20788  0.00430889
          16       1.212     1.20813   0.0040473
          17     1.19947     1.20762  0.00384117
          18     1.16181     1.20508  0.00439064
          19     1.13885     1.20159  0.00536769
          20     1.16587     1.19981  0.00538835
          21     1.17628     1.19869  0.00524693
          22     1.17403     1.19757  0.00512672
          23     1.14329     1.19521  0.00541981
          24      1.1624     1.19384  0.00536355
          25     1.18063     1.19331  0.00517498
          26     1.16247     1.19212   0.0051101
          27     1.17161     1.19137    0.004977
          28     1.17649     1.19083  0.00482754
          29     1.15553     1.18962  0.00481212
          30     1.13447     1.18778  0.00499053
          31     1.15879     1.18684   0.0049164
          32     1.18196     1.18669  0.00476512
          33     1.16961     1.18617  0.00464875
          34     1.18076     1.18601  0.00451475
          35     1.20963     1.18669  0.00443588
          36     1.23024      1.1879  0.00447456
          37     1.20124     1.18826  0.00436812
          38     1.20522      1.1887  0.00427591
          39     1.23482     1.18989  0.00432668
          40     1.21169     1.19043   0.0042527
          41     1.22436     1.19126  0.00422872
          42     1.21514     1.19183  0.00416609
          43     1.19389     1.19188  0.00406948
          44     1.18288     1.19167  0.00398213
          45      1.1436      1.1906  0.00403438
          46     1.18635     1.19051  0.00394773
          47     1.17962     1.19028  0.00387053
          48     1.19642     1.19041  0.00379201
          49     1.19833     1.19057  0.00371807
          50     1.19447     1.19065  0.00364453
          51     1.18884     1.19061  0.00357324
          52     1.17055     1.19023  0.00352529
          53      1.2091     1.19058  0.00347671
          54     1.21556     1.19104  0.00344295
          55     1.20276     1.19126  0.00338694
          56     1.24515     1.19222  0.00346048
          57     1.20575     1.19246  0.00340791
          58     1.21073     1.19277  0.00336368
          59     1.22117     1.19325  0.00334092
          60     1.22119     1.19372  0.00331753
          61     1.17512     1.19341  0.00327712
          62     1.18428     1.19327  0.00322758
          63     1.21795     1.19366  0.00320004
          64     1.17457     1.19336  0.00316392
          65     1.18391     1.19322  0.00311858
          66     1.19504     1.19324  0.00307145
          67     1.17138     1.19292  0.00304289
          68     1.18104     1.19274  0.00300315
          69      1.1963     1.19279  0.00296007
          70     1.17189     1.19249  0.00293281
          71     1.17457     1.19224  0.00290235
          72     1.19941     1.19234  0.00286375
          73     1.21248     1.19262  0.00283777
          74     1.21799     1.19296  0.00282006
          75     1.19223     1.19295  0.00278248
          76     1.16815     1.19262  0.00276493
          77     1.17548      1.1924  0.00273797
          78     1.18558     1.19231  0.00270426
          79     1.15332     1.19182  0.00271471
          80     1.17667     1.19163  0.00268738
          81     1.18789     1.19159   0.0026546
          82     1.23401      1.1921  0.00267218
          83     1.19086     1.19209  0.00264003
          84     1.19763     1.19215  0.00260942
          85      1.1796     1.19201   0.0025829
          86     1.17572     1.19182   0.0025598
          87     1.19234     1.19182  0.00253038
          88     1.16558     1.19152  0.00251914
          89     1.15441     1.19111  0.00252511
          90     1.16994     1.19087  0.00250798
          91     1.19044     1.19087  0.00248043
          92     1.17173     1.19066  0.00246217
          93     1.15947     1.19032  0.00245842
          94     1.16549     1.19006  0.00244642
          95     1.17085     1.18986  0.00242901
          96     1.18747     1.18983  0.00240384
          97     1.18618     1.18979  0.00237935
          98     1.18706     1.18977  0.00235523
          99     1.21665     1.19004  0.00234704
         100     1.22918     1.19043  0.00235599
