#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.39208     1.39208           0
           2     1.39193     1.39201 5.48394e-05
           3      1.3919     1.39197 4.57593e-05
           4       1.392     1.39198 3.47682e-05
           5     1.39201     1.39198 2.83931e-05
           6     1.39201     1.39199 2.39576e-05
           7     1.39206       1.392 2.24541e-05
           8     1.39211     1.39201 2.32576e-05
           9     1.39208     1.39202 2.19563e-05
          10     1.39211     1.39203  2.1661e-05
          11     1.39218     1.39204 2.35657e-05
          12      1.3922     1.39206 2.48679e-05
          13     1.39225     1.39207  2.7253e-05
          14     1.39223     1.39208  2.7596e-05
          15     1.39192     1.39207 2.77655e-05
          16     1.39199     1.39207 2.64798e-05
          17     1.39199     1.39206 2.53389e-05
          18     1.39219     1.39207 2.48396e-05
          19     1.39216     1.39207 2.39647e-05
          20     1.39215     1.39208 2.30751e-05
          21     1.39213     1.39208 2.21369e-05
          22     1.39213     1.39208 2.12334e-05
          23     1.39221     1.39209 2.10316e-05
          24     1.39217     1.39209 2.04046e-05
          25     1.39214     1.39209 1.96979e-05
          26     1.39203     1.39209 1.90907e-05
          27     1.39199     1.39209 1.87609e-05
          28     1.39194     1.39208 1.87762e-05
          29     1.39213     1.39208 1.81983e-05
          30      1.3921     1.39208 1.76022e-05
          31     1.39215     1.39209 1.71656e-05
          32     1.39225     1.39209 1.73734e-05
          33     1.39222      1.3921  1.7302e-05
          34     1.39211      1.3921  1.6798e-05
          35     1.39214      1.3921 1.63711e-05
          36     1.39213      1.3921 1.59457e-05
          37     1.39231      1.3921 1.64765e-05
          38     1.39222     1.39211 1.63199e-05
          39     1.39215     1.39211 1.59406e-05
          40     1.39206     1.39211  1.5582e-05
          41     1.39208     1.39211 1.52147e-05
          42      1.3921     1.39211 1.48524e-05
          43     1.39206      1.3921 1.45477e-05
          44     1.39214     1.39211 1.42408e-05
          45     1.39213     1.39211 1.39365e-05
          46     1.39217     1.39211 1.37085e-05
          47     1.39212     1.39211 1.34189e-05
          48     1.39207     1.39211 1.31675e-05
          49     1.39213     1.39211  1.2909e-05
          50     1.39223     1.39211 1.28642e-05
          51     1.39222     1.39211 1.27758e-05
          52     1.39217     1.39211 1.25724e-05
          53     1.39211     1.39211 1.23357e-05
          54      1.3921     1.39211 1.21115e-05
          55      1.3921     1.39211 1.18934e-05
          56     1.39202     1.39211 1.18027e-05
          57     1.39214     1.39211 1.16103e-05
          58     1.39216     1.39211 1.14421e-05
          59     1.39215     1.39211  1.1271e-05
          60     1.39226     1.39212 1.13385e-05
          61     1.39228     1.39212 1.14637e-05
          62     1.39216     1.39212 1.12968e-05
          63      1.3922     1.39212 1.11895e-05
          64     1.39203     1.39212 1.10996e-05
          65     1.39205     1.39212 1.09724e-05
          66     1.39219     1.39212 1.08545e-05
          67     1.39221     1.39212  1.0771e-05
          68     1.39212     1.39212 1.06127e-05
          69     1.39223     1.39212 1.05685e-05
          70     1.39216     1.39212 1.04302e-05
          71     1.39219     1.39212 1.03233e-05
          72     1.39208     1.39212 1.01957e-05
          73     1.39212     1.39212 1.00561e-05
          74      1.3921     1.39212 9.92475e-06
          75     1.39225     1.39212 9.94872e-06
          76     1.39218     1.39212 9.84266e-06
          77      1.3922     1.39213 9.76121e-06
          78     1.39226     1.39213 9.78426e-06
          79      1.3922     1.39213 9.70854e-06
          80      1.3921     1.39213 9.59201e-06
          81     1.39205     1.39213  9.5161e-06
          82     1.39201     1.39213 9.51048e-06
          83     1.39216     1.39213 9.40719e-06
          84     1.39219     1.39213 9.32595e-06
          85     1.39214     1.39213 9.21833e-06
          86      1.3921     1.39213 9.11674e-06
          87     1.39202     1.39213 9.09066e-06
          88     1.39213     1.39213   8.988e-06
          89     1.39211     1.39213 8.88914e-06
          90     1.39221     1.39213 8.83848e-06
          91     1.39209     1.39213 8.75137e-06
          92      1.3921     1.39213 8.66082e-06
          93     1.39209     1.39212 8.57544e-06
          94     1.39215     1.39213 8.48753e-06
          95     1.39206     1.39212 8.42203e-06
          96     1.39216     1.39212 8.34251e-06
          97     1.39232     1.39213 8.49887e-06
          98     1.39222     1.39213 8.46241e-06
          99      1.3921     1.39213 8.38079e-06
         100     1.39212     1.39213 8.29744e-06
