#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.67279     1.67279           0
           2     1.62941      1.6511   0.0153404
           3     1.63528     1.64583   0.0110966
           4     1.67214      1.6524   0.0100853
           5     1.65152     1.65223  0.00806982
           6     1.65002     1.65186  0.00673321
           7     1.61906     1.64717  0.00722001
           8     1.64643     1.64708   0.0063181
           9     1.65762     1.64825  0.00572351
          10     1.64654     1.64808  0.00515373
          11     1.63245     1.64666  0.00487723
          12     1.64408     1.64644  0.00447554
          13     1.65981     1.64747  0.00424772
          14     1.65717     1.64816  0.00400036
          15     1.67352     1.64985  0.00407509
          16     1.64316     1.64944  0.00384181
          17     1.63193     1.64841  0.00375126
          18     1.67241     1.64974  0.00377254
          19      1.6441     1.64944  0.00358566
          20      1.6681     1.65038  0.00352571
          21     1.67026     1.65132   0.0034827
          22     1.67237     1.65228  0.00345333
          23     1.64308     1.65188  0.00332626
          24     1.65284     1.65192  0.00318791
          25      1.6454     1.65166  0.00307105
          26     1.60623     1.64991  0.00341407
          27     1.60692     1.64832  0.00364008
          28     1.65281     1.64848  0.00351361
          29     1.63529     1.64802  0.00342175
          30     1.67259     1.64884  0.00340427
          31     1.60854     1.64754  0.00353396
          32     1.64561     1.64748  0.00342404
          33     1.65247     1.64763  0.00332362
          34     1.66718     1.64821  0.00327519
          35      1.6616     1.64859  0.00320388
          36      1.6452      1.6485  0.00311627
          37     1.65778     1.64875  0.00304212
          38     1.70209     1.65015  0.00326998
          39     1.65087     1.65017  0.00318618
          40     1.62617     1.64957   0.0031625
          41     1.61295     1.64868  0.00320899
          42     1.65597     1.64885  0.00313728
          43     1.61489     1.64806  0.00316217
          44     1.65451     1.64821  0.00309369
          45     1.64457     1.64813    0.003026
          46     1.64746     1.64811  0.00296025
          47      1.6983     1.64918  0.00308384
          48     1.65509      1.6493  0.00302205
          49     1.64513     1.64922  0.00296158
          50     1.66748     1.64958  0.00292478
