#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.903349    0.903349           0
           2    0.881842    0.892595  0.00760394
           3    0.884041    0.889744  0.00557834
           4    0.901472    0.892676  0.00489398
           5     0.89327    0.892795  0.00391663
           6    0.891489    0.892577  0.00326989
           7     0.87646    0.890275  0.00352124
           8    0.888913    0.890105   0.0030852
           9    0.895933    0.890752  0.00280955
          10    0.890029     0.89068  0.00252953
          11    0.883992    0.890072  0.00237151
          12    0.888528    0.889943  0.00217737
          13    0.896642    0.890459  0.00206995
          14    0.894974    0.890781  0.00194706
          15    0.902953    0.891593  0.00197914
          16    0.888678     0.89141  0.00186381
          17    0.882616    0.890893  0.00182455
          18    0.901962    0.891508  0.00182388
          19    0.889461      0.8914  0.00173107
          20    0.900885    0.891875  0.00170824
          21    0.900687    0.892294  0.00167765
          22    0.901878     0.89273  0.00165699
          23    0.888369     0.89254  0.00159575
          24    0.892667    0.892545  0.00152927
          25    0.888876    0.892399  0.00147513
          26    0.869689    0.891525  0.00165693
          27    0.868963     0.89069  0.00179395
          28    0.891823     0.89073  0.00173034
          29    0.883642    0.890486  0.00168785
          30    0.902036    0.890871  0.00167493
          31    0.870844    0.890225  0.00174103
          32    0.889503    0.890202  0.00168676
          33    0.893203    0.890293   0.0016381
          34    0.899565    0.890566  0.00161246
          35    0.896366    0.890731  0.00157488
          36    0.889541    0.890698  0.00153148
          37    0.895235    0.890821  0.00149499
          38    0.916574    0.891499   0.0016019
          39    0.891166     0.89149  0.00156085
          40    0.880153    0.891207  0.00154735
          41    0.873726     0.89078  0.00156725
          42    0.894136     0.89086  0.00153197
          43    0.873631     0.89046  0.00154785
          44    0.892818    0.890513   0.0015136
          45    0.890077    0.890504     0.00148
          46        0.89    0.890493  0.00144786
          47    0.915219    0.891019  0.00150961
          48     0.89407    0.891082   0.0014795
          49    0.889352    0.891047  0.00144973
          50    0.900413    0.891234  0.00143279
