#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.37803    -3.37803           0
           2    -3.37869    -3.37836 0.000231125
           3    -3.37802    -3.37825 0.000179261
           4    -3.37983    -3.37864 0.000368434
           5    -3.37987    -3.37889 0.000367082
           6    -3.37902    -3.37891 0.000306552
           7    -3.37877    -3.37889 0.000263428
           8    -3.37931    -3.37894  0.00023554
           9    -3.37809    -3.37885 0.000227691
          10    -3.37845    -3.37881 0.000208293
          11    -3.37487    -3.37845 0.000390223
          12    -3.37713    -3.37834 0.000372966
          13    -3.37716    -3.37825 0.000355235
          14    -3.37838    -3.37826 0.000329974
          15    -3.37911    -3.37832 0.000312856
          16    -3.37783    -3.37829 0.000294753
          17    -3.37567    -3.37813 0.000314972
          18    -3.37956    -3.37821 0.000307377
          19    -3.37745    -3.37817 0.000293794
          20    -3.37681     -3.3781 0.000286859
          21    -3.37975    -3.37818 0.000283753
          22    -3.37821    -3.37818 0.000270859
          23    -3.37943    -3.37824 0.000264483
          24    -3.38096    -3.37835 0.000276741
          25    -3.38011    -3.37842 0.000274508
          26    -3.37779     -3.3784 0.000265014
          27    -3.37812    -3.37839 0.000255395
          28    -3.37912    -3.37841 0.000247598
          29    -3.37752    -3.37838 0.000240969
          30    -3.37703    -3.37834 0.000237096
          31    -3.37795    -3.37832 0.000229768
          32    -3.37767     -3.3783 0.000223495
          33     -3.3758    -3.37823 0.000229261
          34    -3.37961    -3.37827 0.000226104
          35    -3.37876    -3.37828 0.000220087
          36    -3.37635    -3.37823 0.000220427
          37    -3.37669    -3.37819 0.000218367
          38    -3.37755    -3.37817 0.000213271
          39    -3.37928     -3.3782 0.000209696
          40    -3.37796    -3.37819 0.000204538
          41    -3.37818    -3.37819 0.000199549
          42    -3.37967    -3.37823 0.000197851
          43    -3.37885    -3.37824 0.000193781
          44    -3.37915    -3.37826 0.000190481
          45    -3.37761    -3.37825 0.000186802
          46    -3.37872    -3.37826 0.000183018
          47    -3.37781    -3.37825 0.000179369
          48     -3.3788    -3.37826    0.000176
          49     -3.3772    -3.37824 0.000173735
          50    -3.37765    -3.37823 0.000170664
