#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.79324     1.79324           0
           2     1.79678     1.79501  0.00125098
           3      1.7566     1.78221    0.010488
           4     1.73328     1.76997    0.013195
           5     1.73652     1.76328   0.0121343
           6     1.73493     1.75856   0.0109938
           7     1.74614     1.75678  0.00956517
           8     1.71789     1.75192  0.00952545
           9     1.67193     1.74303   0.0119123
          10     1.69513     1.73824   0.0116445
          11     1.71302     1.73595   0.0108093
          12     1.65689     1.72936   0.0117459
          13     1.66626     1.72451   0.0118028
          14     1.62482     1.71739   0.0129304
          15     1.64522     1.71258   0.0129325
          16     1.66465     1.70958   0.0124663
          17     1.68474     1.70812   0.0118183
          18     1.73224     1.70946   0.0112375
          19     1.68674     1.70826   0.0107094
          20     1.68118     1.70691   0.0102592
          21     1.63033     1.70326   0.0103986
          22     1.65118      1.7009   0.0101919
          23     1.61804     1.69729   0.0103659
          24     1.69804     1.69733    0.009934
          25     1.62572     1.69446  0.00994099
          26     1.62904     1.69194  0.00987194
          27     1.72236     1.69307  0.00957038
          28     1.69671      1.6932  0.00922946
          29     1.71905     1.69409  0.00895415
          30     1.72862     1.69524  0.00872934
          31     1.71051     1.69574  0.00846163
          32     1.71279     1.69627  0.00821396
          33     1.68388     1.69589  0.00797363
          34     1.67675     1.69533  0.00775897
          35     1.68659     1.69508   0.0075413
          36     1.65293     1.69391  0.00742214
          37     1.61338     1.69173  0.00753387
          38     1.66327     1.69098  0.00737275
          39      1.6943     1.69107  0.00718419
          40     1.70292     1.69137  0.00701069
          41     1.65245     1.69042  0.00690366
          42     1.71268     1.69095  0.00675961
          43     1.75175     1.69236  0.00674869
          44     1.71417     1.69286   0.0066135
          45      1.7304     1.69369  0.00651895
          46     1.70733     1.69399  0.00638397
          47     1.69662     1.69404  0.00624839
          48     1.65475     1.69322   0.0061716
          49     1.68353     1.69303  0.00604882
          50     1.70261     1.69322  0.00593087
          51     1.74471     1.69423   0.0058999
          52     1.70066     1.69435  0.00578773
          53     1.72539     1.69494  0.00570809
          54     1.69556     1.69495   0.0056024
          55     1.65708     1.69426  0.00554267
          56     1.69338     1.69424  0.00544372
          57     1.71094     1.69454  0.00535609
          58     1.72684     1.69509  0.00529263
          59     1.66714     1.69462  0.00522409
          60     1.70158     1.69474  0.00513831
          61     1.63975     1.69384  0.00513253
          62     1.63564      1.6929  0.00513486
          63     1.63789     1.69202  0.00512705
          64     1.66594     1.69162  0.00506311
          65     1.65054     1.69098   0.0050245
          66     1.63001     1.69006  0.00503259
          67     1.65046     1.68947  0.00499207
          68      1.6855     1.68941    0.004919
          69     1.67055     1.68914   0.0048553
          70     1.68833     1.68913  0.00478595
          71     1.71459     1.68948  0.00473196
          72     1.74257     1.69022  0.00472332
          73      1.7629     1.69122   0.0047624
          74     1.71837     1.69158  0.00471216
          75     1.69801     1.69167  0.00465011
          76     1.77714     1.69279  0.00472296
          77     1.78337     1.69397  0.00480587
          78      1.6722     1.69369  0.00475236
          79     1.67897     1.69351  0.00469585
          80     1.69679     1.69355  0.00463734
          81     1.71691     1.69383  0.00458905
          82     1.69698     1.69387  0.00453325
          83     1.73991     1.69443  0.00451244
          84     1.76956     1.69532   0.0045465
          85     1.75958     1.69608  0.00455543
          86     1.76518     1.69688  0.00457277
          87     1.71493     1.69709  0.00452492
          88     1.71191     1.69726  0.00447663
          89      1.7636       1.698  0.00448796
          90     1.70942     1.69813  0.00443989
          91     1.70044     1.69816  0.00439117
          92     1.73885      1.6986  0.00436566
          93      1.6708      1.6983  0.00432894
          94     1.76619     1.69902  0.00434272
          95     1.67276     1.69874   0.0043058
          96     1.70375      1.6988  0.00426127
          97     1.69393     1.69875  0.00421763
          98     1.76383     1.69941  0.00422655
          99     1.72806      1.6997  0.00419376
         100     1.72334     1.69994  0.00415848
