#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.508353   -0.508353           0
           2   -0.511905   -0.510129  0.00125586
           3   -0.471636   -0.497298   0.0105099
           4    -0.44835   -0.485061   0.0132076
           5     -0.4516   -0.478369   0.0121437
           6   -0.449982   -0.473638   0.0110028
           7   -0.461246   -0.471868  0.00957235
           8   -0.433126   -0.467025  0.00952233
           9   -0.387066    -0.45814   0.0119082
          10   -0.410237    -0.45335   0.0116411
          11   -0.428127   -0.451057   0.0108063
          12   -0.372005   -0.444469   0.0117433
          13   -0.381223   -0.439604   0.0118048
          14   -0.339855   -0.432479   0.0129343
          15   -0.360293   -0.427667   0.0129364
          16   -0.379679   -0.424668   0.0124707
          17   -0.399862   -0.423208   0.0118222
          18   -0.447279   -0.424546   0.0112407
          19   -0.401742   -0.423346    0.010713
          20   -0.396221   -0.421989   0.0102629
          21   -0.345366   -0.418341   0.0104026
          22   -0.366199    -0.41597   0.0101961
          23   -0.333172   -0.412371   0.0103689
          24   -0.413092   -0.412401  0.00993689
          25   -0.340701   -0.409533  0.00994468
          26   -0.344085   -0.407015  0.00987564
          27   -0.437303   -0.408137  0.00957337
          28   -0.411709   -0.408265  0.00923232
          29   -0.434193   -0.409159  0.00895715
          30   -0.443763   -0.410312  0.00873253
          31   -0.425681   -0.410808   0.0084649
          32    -0.42781   -0.411339  0.00821703
          33   -0.399003   -0.410965  0.00797653
          34    -0.39193   -0.410406  0.00776155
          35   -0.401769   -0.410159  0.00754371
          36   -0.368159   -0.408992  0.00742383
          37   -0.328601   -0.406819  0.00753443
          38   -0.378436   -0.406072  0.00737308
          39   -0.409406   -0.406158  0.00718452
          40   -0.418024   -0.406455  0.00701103
          41   -0.367568   -0.405506  0.00690389
          42   -0.427934    -0.40604  0.00676013
          43    -0.46691   -0.407456   0.0067495
          44   -0.429322   -0.407953  0.00661437
          45   -0.445651    -0.40879  0.00652022
          46   -0.422368   -0.409086  0.00638516
          47   -0.411614   -0.409139  0.00624953
          48   -0.369769   -0.408319  0.00617292
          49   -0.398672   -0.408122  0.00605008
          50   -0.417879   -0.408317  0.00593223
          51   -0.460034   -0.409331  0.00590194
          52   -0.416058   -0.409461  0.00578986
          53   -0.440596   -0.410048  0.00571034
          54   -0.410636   -0.410059  0.00560461
          55   -0.372203   -0.409371  0.00554481
          56   -0.408454   -0.409354  0.00544582
          57   -0.426122   -0.409649  0.00535822
          58   -0.442029   -0.410207  0.00529484
          59   -0.382304   -0.409734  0.00522617
          60   -0.416747   -0.409851  0.00514038
          61   -0.354947   -0.408951   0.0051343
          62   -0.350871   -0.408014  0.00513624
          63   -0.353056   -0.407142  0.00512826
          64   -0.380943   -0.406732  0.00506444
          65   -0.365508   -0.406098  0.00502608
          66   -0.344928   -0.405171  0.00503466
          67   -0.365445   -0.404578  0.00499431
          68   -0.400477   -0.404518  0.00492122
          69    -0.38561   -0.404244  0.00485753
          70   -0.403508   -0.404233  0.00478814
          71   -0.429659   -0.404592  0.00473408
          72   -0.457703   -0.405329  0.00472545
          73   -0.477941   -0.406324  0.00476425
          74   -0.433476   -0.406691  0.00471398
          75   -0.413204   -0.406778  0.00465193
          76   -0.492262   -0.407902  0.00472474
          77   -0.498348   -0.409077  0.00480718
          78   -0.387277   -0.408798  0.00475366
          79    -0.39413   -0.408612  0.00469711
          80   -0.412034   -0.408655  0.00463859
          81    -0.43205   -0.408944  0.00459031
          82     -0.4121   -0.408982  0.00453449
          83   -0.455072   -0.409537  0.00451373
          84   -0.484786   -0.410433  0.00454802
          85   -0.474874   -0.411191  0.00455727
          86   -0.480405   -0.411996  0.00457479
          87    -0.43003   -0.412203   0.0045269
          88   -0.426912   -0.412371  0.00447854
          89   -0.478547   -0.413114  0.00448952
          90   -0.424371   -0.413239  0.00444138
          91   -0.415452   -0.413263  0.00439264
          92   -0.453804   -0.413704  0.00436694
          93   -0.385918   -0.413405  0.00433019
          94    -0.48125   -0.414127  0.00434386
          95   -0.387908   -0.413851   0.0043069
          96   -0.418973   -0.413904  0.00426236
          97   -0.409139   -0.413855   0.0042187
          98   -0.478983    -0.41452  0.00422768
          99   -0.443271    -0.41481  0.00419494
         100   -0.438524   -0.415047  0.00415968
