#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.059648    0.059648           0
           2   0.0597803   0.0597141  4.6757e-05
           3   0.0584668   0.0592984 0.000340912
           4   0.0576831   0.0588945 0.000433218
           5   0.0577989   0.0586754 0.000398156
           6   0.0577253   0.0585171  0.00036192
           7   0.0581085   0.0584587 0.000314888
           8    0.057178   0.0582986 0.000313593
           9   0.0556225   0.0580013 0.000395333
          10   0.0564191    0.057843 0.000386162
          11   0.0570051   0.0577669 0.000358491
          12   0.0551296   0.0575471 0.000390211
          13   0.0554532    0.057386 0.000392031
          14   0.0540776   0.0571497 0.000429386
          15   0.0547512   0.0569898 0.000429502
          16   0.0553842   0.0568895 0.000414215
          17   0.0560582   0.0568406 0.000392725
          18   0.0576489   0.0568855 0.000373465
          19   0.0561418   0.0568463 0.000355854
          20   0.0559263   0.0568003 0.000341022
          21    0.054229   0.0566779 0.000346067
          22   0.0549476   0.0565992 0.000339156
          23    0.053829   0.0564788 0.000345135
          24   0.0565607   0.0564822 0.000330771
          25   0.0540882   0.0563864 0.000331112
          26   0.0541959   0.0563022 0.000328921
          27   0.0573477   0.0563409  0.00031901
          28   0.0564601   0.0563452 0.000307645
          29    0.057209    0.056375 0.000298476
          30   0.0575118   0.0564129 0.000290922
          31   0.0568929   0.0564283 0.000281949
          32   0.0569875   0.0564458 0.000273679
          33   0.0560465   0.0564337 0.000265653
          34    0.055809   0.0564153 0.000258475
          35   0.0561542   0.0564079 0.000251197
          36   0.0549938   0.0563686 0.000247272
          37   0.0536768   0.0562958 0.000251063
          38    0.055347   0.0562709 0.000245695
          39   0.0563557   0.0562731 0.000239404
          40   0.0566679   0.0562829 0.000233623
          41   0.0549614   0.0562507 0.000230137
          42   0.0569633   0.0562677 0.000225282
          43   0.0582614    0.056314 0.000224764
          44   0.0570316   0.0563303 0.000220247
          45   0.0575698   0.0563579 0.000217068
          46   0.0568059   0.0563676 0.000212567
          47   0.0564848   0.0563701 0.000208059
          48   0.0550834   0.0563433 0.000205444
          49   0.0559893   0.0563361 0.000201378
          50    0.056661   0.0563426 0.000197455
          51   0.0580775   0.0563766 0.000196492
          52   0.0565545     0.05638 0.000192743
          53   0.0574238   0.0563997  0.00019011
          54   0.0564119   0.0563999  0.00018659
          55   0.0551381    0.056377 0.000184602
          56   0.0563373   0.0563763 0.000181307
          57    0.056928    0.056386 0.000178384
          58   0.0574735   0.0564047 0.000176292
          59   0.0554834   0.0563891 0.000173994
          60   0.0566346   0.0563932 0.000171142
          61   0.0545561   0.0563631 0.000170966
          62    0.054421   0.0563318 0.000171054
          63   0.0544995   0.0563027 0.000170793
          64   0.0554651   0.0562896 0.000168625
          65   0.0548965   0.0562682 0.000167387
          66   0.0542457   0.0562375 0.000167633
          67   0.0548973   0.0562175  0.00016632
          68   0.0560769   0.0562154 0.000163887
          69   0.0555975   0.0562065 0.000161756
          70   0.0561928   0.0562063 0.000159445
          71    0.057064   0.0562184 0.000157657
          72    0.057981   0.0562429 0.000157356
          73   0.0586559   0.0562759 0.000158635
          74   0.0571861   0.0562882 0.000156967
          75   0.0564822   0.0562908 0.000154895
          76   0.0591432   0.0563283 0.000157339
          77   0.0593468   0.0563675 0.000160104
          78   0.0556375   0.0563582 0.000158325
          79   0.0558964   0.0563523 0.000156429
          80   0.0564745   0.0563538 0.000154481
          81   0.0571218   0.0563633 0.000152864
          82   0.0564248   0.0563641 0.000151002
          83   0.0579178   0.0563828 0.000150338
          84   0.0588711   0.0564124 0.000151439
          85   0.0585344   0.0564374 0.000151701
          86   0.0587451   0.0564642 0.000152292
          87   0.0570628   0.0564711 0.000150697
          88   0.0569086   0.0564761 0.000149066
          89   0.0586897   0.0565009 0.000149452
          90   0.0568678    0.056505 0.000147847
          91   0.0565918    0.056506 0.000146226
          92   0.0578549   0.0565206 0.000145369
          93   0.0555717   0.0565104 0.000144164
          94   0.0587925   0.0565347  0.00014466
          95   0.0556525   0.0565254 0.000143435
          96   0.0566633   0.0565269 0.000141948
          97   0.0563536   0.0565251 0.000140496
          98   0.0586939   0.0565472 0.000140795
          99   0.0575001   0.0565568 0.000139701
         100   0.0573028   0.0565643 0.000138503
