#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.1955      1.1955           0
           2     1.19785     1.19667  0.00083399
           3     1.17107     1.18814  0.00699198
           4     1.15552     1.17998  0.00879668
           5     1.15768     1.17552  0.00808952
           6     1.15662     1.17237  0.00732918
           7      1.1641     1.17119  0.00637678
           8     1.14526     1.16795   0.0063503
           9     1.11462     1.16202  0.00794151
          10     1.13009     1.15883  0.00776298
          11     1.14201      1.1573  0.00720619
          12     1.10459     1.15291  0.00783062
          13     1.11084     1.14967  0.00786853
          14     1.08321     1.14493  0.00862029
          15     1.09681     1.14172  0.00862169
          16     1.10977     1.13972  0.00831086
          17     1.12316     1.13875  0.00787889
          18     1.15482     1.13964  0.00749164
          19     1.12449     1.13884  0.00713963
          20     1.12079     1.13794   0.0068395
          21     1.08689     1.13551  0.00693239
          22     1.10079     1.13393  0.00679457
          23     1.07869     1.13153  0.00691058
          24     1.13203     1.13155  0.00662267
          25     1.08381     1.12964  0.00662733
          26     1.08603     1.12796  0.00658129
          27     1.14824     1.12871  0.00638025
          28     1.13114      1.1288  0.00615297
          29     1.14604      1.1294  0.00596943
          30     1.15242     1.13016  0.00581956
          31     1.14034     1.13049  0.00564109
          32     1.14186     1.13085  0.00547597
          33     1.12259      1.1306  0.00531575
          34     1.11783     1.13022  0.00517265
          35     1.12439     1.13005  0.00502754
          36     1.10196     1.12927  0.00494809
          37     1.07559     1.12782  0.00502258
          38     1.10885     1.12732  0.00491516
          39     1.12953     1.12738  0.00478946
          40     1.13528     1.12758  0.00467379
          41     1.10163     1.12694  0.00460244
          42     1.14179      1.1273   0.0045064
          43     1.16783     1.12824  0.00449913
          44     1.14278     1.12857    0.004409
          45      1.1536     1.12913  0.00434597
          46     1.13822     1.12932  0.00425598
          47     1.13108     1.12936  0.00416559
          48     1.10317     1.12882   0.0041144
          49     1.12236     1.12868  0.00403254
          50     1.13507     1.12881  0.00395392
          51     1.16314     1.12949  0.00393327
          52     1.13377     1.12957  0.00385849
          53     1.15026     1.12996  0.00380539
          54     1.13038     1.12997  0.00373493
          55     1.10472     1.12951  0.00369512
          56     1.12892      1.1295  0.00362915
          57     1.14062     1.12969  0.00357072
          58     1.15123     1.13006  0.00352842
          59     1.11142     1.12975  0.00348273
          60     1.13439     1.12982  0.00342554
          61     1.09317     1.12922  0.00342169
          62     1.09043      1.1286  0.00342324
          63     1.09193     1.12802  0.00341803
          64     1.11063     1.12774  0.00337541
          65     1.10036     1.12732  0.00334966
          66     1.08667     1.12671  0.00335506
          67      1.1003     1.12631  0.00332805
          68     1.12366     1.12627  0.00327933
          69      1.1137     1.12609  0.00323686
          70     1.12556     1.12608  0.00319063
          71     1.14306     1.12632  0.00315464
          72     1.16171     1.12681  0.00314888
          73     1.17527     1.12748  0.00317493
          74     1.14558     1.12772  0.00314144
          75     1.13201     1.12778  0.00310007
          76     1.18476     1.12853  0.00314864
          77     1.18891     1.12931  0.00320392
          78      1.1148     1.12913  0.00316824
          79     1.11931       1.129  0.00313057
          80     1.13119     1.12903  0.00309156
          81     1.14461     1.12922  0.00305937
          82     1.13132     1.12925  0.00302216
          83     1.15994     1.12962  0.00300829
          84     1.17971     1.13021    0.003031
          85     1.17305     1.13072  0.00303695
          86     1.17679     1.13125  0.00304852
          87     1.14329     1.13139  0.00301661
          88     1.14127     1.13151  0.00298442
          89     1.17573       1.132  0.00299198
          90     1.13962     1.13209  0.00295993
          91     1.13363      1.1321  0.00292745
          92     1.15923      1.1324  0.00291044
          93     1.11386      1.1322  0.00288596
          94     1.17746     1.13268  0.00289515
          95     1.11517      1.1325  0.00287053
          96     1.13583     1.13253  0.00284084
          97     1.12929      1.1325  0.00281175
          98     1.17589     1.13294   0.0028177
          99     1.15204     1.13313  0.00279584
         100     1.14889     1.13329  0.00277232
