#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.28489     1.28489           0
           2     1.28488     1.28488 4.87512e-06
           3     1.28496     1.28491 2.19958e-05
           4     1.28492     1.28491 1.68444e-05
           5     1.28492     1.28491 1.35522e-05
           6     1.28495     1.28492 1.22172e-05
           7      1.2849     1.28492 1.08426e-05
           8     1.28476      1.2849 2.04678e-05
           9     1.28487     1.28489 1.84301e-05
          10     1.28489     1.28489 1.65872e-05
          11     1.28489     1.28489 1.50793e-05
          12     1.28489     1.28489 1.38345e-05
          13     1.28504      1.2849 1.66892e-05
          14     1.28497     1.28491 1.60813e-05
          15     1.28493     1.28491 1.50588e-05
          16     1.28497     1.28491 1.46446e-05
          17     1.28487     1.28491 1.39736e-05
          18     1.28496     1.28491 1.34351e-05
          19       1.285     1.28492 1.34288e-05
          20     1.28496     1.28492 1.29018e-05
          21     1.28497     1.28492 1.24821e-05
          22     1.28498     1.28493 1.21843e-05
          23     1.28487     1.28492 1.19096e-05
          24     1.28495     1.28492 1.14542e-05
          25     1.28502     1.28493  1.1586e-05
          26     1.28496     1.28493 1.11898e-05
          27     1.28506     1.28493 1.17498e-05
          28       1.285     1.28494 1.15932e-05
          29     1.28486     1.28493 1.14824e-05
          30     1.28486     1.28493 1.13623e-05
          31     1.28483     1.28493 1.14878e-05
          32     1.28498     1.28493 1.12248e-05
          33     1.28488     1.28493 1.09965e-05
          34     1.28482     1.28492 1.11515e-05
          35     1.28482     1.28492 1.12252e-05
          36     1.28478     1.28492 1.16242e-05
          37     1.28478     1.28491 1.18613e-05
          38     1.28484     1.28491 1.17295e-05
          39     1.28489     1.28491 1.14416e-05
          40     1.28489     1.28491 1.11644e-05
          41     1.28488     1.28491 1.09198e-05
          42     1.28474     1.28491 1.13479e-05
          43     1.28484      1.2849 1.11823e-05
          44     1.28485      1.2849 1.09924e-05
          45     1.28475      1.2849 1.12588e-05
          46     1.28496      1.2849 1.10918e-05
          47       1.285      1.2849 1.10662e-05
          48     1.28498     1.28491 1.09593e-05
          49     1.28486      1.2849 1.07705e-05
          50     1.28473      1.2849 1.11117e-05
          51     1.28468      1.2849 1.17299e-05
          52      1.2846     1.28489 1.28208e-05
          53      1.2848     1.28489 1.26973e-05
          54     1.28493     1.28489 1.24815e-05
          55     1.28488     1.28489 1.22555e-05
          56     1.28492     1.28489 1.20516e-05
          57     1.28481     1.28489 1.19143e-05
          58     1.28482     1.28489 1.17751e-05
          59     1.28483     1.28489 1.16117e-05
          60     1.28483     1.28489 1.14521e-05
          61      1.2848     1.28488 1.13427e-05
          62     1.28477     1.28488 1.13161e-05
          63     1.28484     1.28488 1.11615e-05
          64       1.285     1.28488 1.11313e-05
          65     1.28503     1.28489  1.1198e-05
          66     1.28508     1.28489 1.14053e-05
          67     1.28501     1.28489 1.13832e-05
          68     1.28502     1.28489  1.1371e-05
          69     1.28494     1.28489 1.12313e-05
          70     1.28483     1.28489  1.1113e-05
          71     1.28493     1.28489 1.09706e-05
          72     1.28486     1.28489 1.08254e-05
          73     1.28496     1.28489 1.07194e-05
          74     1.28489     1.28489 1.05745e-05
          75     1.28481     1.28489 1.04992e-05
          76     1.28488     1.28489 1.03625e-05
          77     1.28502     1.28489 1.03618e-05
          78     1.28492     1.28489 1.02353e-05
          79     1.28484     1.28489 1.01305e-05
          80     1.28475     1.28489  1.0159e-05
          81     1.28486     1.28489 1.00393e-05
          82     1.28488     1.28489 9.91761e-06
          83     1.28484     1.28489 9.81668e-06
          84     1.28477     1.28489 9.79693e-06
          85     1.28471     1.28489  9.9128e-06
          86     1.28478     1.28489 9.88161e-06
          87      1.2849     1.28489 9.76955e-06
          88       1.285     1.28489 9.73814e-06
          89     1.28505     1.28489 9.80492e-06
          90     1.28505     1.28489 9.86216e-06
          91     1.28499     1.28489 9.81045e-06
          92     1.28505     1.28489 9.84446e-06
          93     1.28488     1.28489 9.74003e-06
          94     1.28494     1.28489 9.64923e-06
          95     1.28485     1.28489 9.55883e-06
          96     1.28478     1.28489  9.5362e-06
          97     1.28479     1.28489 9.49637e-06
          98     1.28484     1.28489 9.41134e-06
          99     1.28479     1.28489 9.37322e-06
         100     1.28482     1.28489 9.30722e-06
