#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.57884     1.57884           0
           2     1.54326     1.56105   0.0125799
           3     1.58256     1.56822   0.0102285
           4     1.58069     1.57134  0.00813242
           5     1.60539     1.57815  0.00891223
           6     1.57943     1.57836  0.00742943
           7     1.60101      1.5816  0.00703776
           8     1.58415     1.58192  0.00616524
           9     1.57728      1.5814  0.00550166
          10     1.54773     1.57803  0.00589219
          11     1.59322     1.57941  0.00551595
          12      1.5771     1.57922  0.00505966
          13      1.5549     1.57735  0.00500433
          14     1.54486     1.57503  0.00515714
          15     1.56333     1.57425    0.004872
          16     1.56314     1.57356  0.00461676
          17     1.55147     1.57226   0.0045242
          18      1.5733     1.57231  0.00427323
          19     1.58241     1.57285  0.00408119
          20     1.60083     1.57424  0.00411002
          21     1.56461     1.57379  0.00393981
          22     1.54444     1.57245  0.00398012
          23     1.54399     1.57121  0.00399484
          24     1.56288     1.57087  0.00384346
          25     1.57646     1.57109  0.00369622
          26     1.56865       1.571  0.00355525
          27     1.54253     1.56994  0.00357646
          28     1.56607      1.5698   0.0034514
          29     1.57111     1.56985  0.00333268
          30     1.57693     1.57009  0.00322995
          31     1.57643     1.57029  0.00313223
          32     1.54889     1.56962  0.00310493
          33     1.59362     1.57035  0.00309481
          34     1.57376     1.57045  0.00300541
          35     1.55814      1.5701  0.00294004
          36     1.55218      1.5696  0.00290017
          37     1.55936     1.56932  0.00283497
          38     1.54678     1.56873  0.00282177
          39     1.55925     1.56849  0.00275987
          40     1.54663     1.56794  0.00274445
          41      1.5675     1.56793  0.00267753
          42     1.58811     1.56841  0.00265655
          43     1.58752     1.56885  0.00263167
          44       1.565     1.56877  0.00257331
          45     1.57451     1.56889  0.00251929
          46     1.58382     1.56922  0.00248533
          47     1.58639     1.56958  0.00245915
          48     1.59202     1.57005  0.00245194
          49     1.60381     1.57074  0.00249682
          50     1.55122     1.57035   0.0024772
