#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.07855    -5.07855           0
           2    -5.04007    -5.05931   0.0136039
           3    -5.08126    -5.06662     0.01086
           4    -5.07931    -5.06979  0.00859551
           5    -5.10179    -5.07619  0.00894685
           6    -5.07713    -5.07635  0.00745707
           7    -5.09781    -5.07941  0.00699338
           8    -5.08334    -5.07991  0.00613637
           9    -5.07493    -5.07935  0.00547939
          10      -5.044    -5.07582  0.00596392
          11    -5.09096    -5.07719  0.00557832
          12    -5.07557    -5.07706  0.00511509
          13    -5.05084    -5.07504  0.00510381
          14    -5.04268    -5.07273  0.00523649
          15    -5.05921    -5.07183  0.00496436
          16    -5.06244    -5.07124  0.00468862
          17    -5.04779    -5.06986  0.00461135
          18    -5.07091    -5.06992  0.00435553
          19    -5.08077    -5.07049  0.00416357
          20    -5.10005    -5.07197  0.00420947
          21    -5.06178    -5.07148  0.00403688
          22    -5.04276    -5.07018  0.00405904
          23    -5.04166    -5.06894  0.00406758
          24    -5.05973    -5.06855  0.00391616
          25    -5.07368    -5.06876  0.00376489
          26    -5.06593    -5.06865  0.00362166
          27    -5.04065    -5.06761  0.00363301
          28    -5.06345    -5.06747  0.00350629
          29     -5.0678    -5.06748  0.00338541
          30    -5.07397    -5.06769  0.00327947
          31    -5.07584    -5.06796  0.00318419
          32    -5.04645    -5.06728  0.00315479
          33    -5.09134    -5.06801  0.00314226
          34    -5.07019    -5.06808   0.0030505
          35    -5.05513    -5.06771  0.00298568
          36    -5.05079    -5.06724  0.00293949
          37    -5.05667    -5.06695   0.0028739
          38    -5.04454    -5.06636  0.00285816
          39    -5.05879    -5.06617  0.00279147
          40     -5.0437    -5.06561  0.00277763
          41     -5.0669    -5.06564  0.00271007
          42    -5.08566    -5.06611  0.00268716
          43    -5.08665    -5.06659  0.00266678
          44    -5.06419    -5.06654  0.00260673
          45     -5.0724    -5.06667  0.00255206
          46    -5.08338    -5.06703  0.00252232
          47    -5.08504    -5.06741   0.0024976
          48    -5.09068     -5.0679  0.00249216
          49    -5.10376    -5.06863   0.0025465
          50     -5.0463    -5.06818  0.00253442
