#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      0.8519      0.8519           0
           2    0.834373    0.843137  0.00619682
           3     0.85286    0.846378  0.00490611
           4    0.851796    0.847732  0.00386204
           5    0.865005    0.851187  0.00436962
           6     0.85241    0.851391   0.0036461
           7    0.862677    0.853003  0.00346342
           8    0.854108    0.853141  0.00303324
           9    0.851352    0.852942  0.00270272
          10    0.836071    0.851255  0.00291179
          11     0.85821    0.851888  0.00271486
          12     0.84942    0.851682   0.0024964
          13    0.839971    0.850781  0.00246156
          14    0.834242      0.8496  0.00255351
          15    0.844522    0.849261  0.00240561
          16    0.843631    0.848909  0.00228085
          17    0.838168    0.848277  0.00223249
          18    0.850018    0.848374  0.00211055
          19    0.854752     0.84871  0.00202599
          20    0.862734    0.849411  0.00204243
          21    0.843974    0.849152  0.00196152
          22    0.833788    0.848454   0.0019928
          23    0.834799     0.84786  0.00199263
          24    0.843561    0.847681  0.00191764
          25    0.850694    0.847801  0.00184472
          26    0.846661    0.847758  0.00177429
          27    0.833294    0.847222  0.00178762
          28    0.845782     0.84717  0.00172451
          29    0.848698    0.847223  0.00166585
          30    0.851115    0.847353  0.00161537
          31    0.849468    0.847421   0.0015647
          32    0.837525    0.847112  0.00154606
          33    0.858385    0.847453  0.00153649
          34    0.848546    0.847486  0.00149164
          35    0.840697    0.847292  0.00146157
          36    0.838155    0.847038  0.00144284
          37    0.842364    0.846912  0.00140936
          38    0.835961    0.846623  0.00140143
          39    0.841317    0.846487  0.00137208
          40    0.836253    0.846231  0.00136143
          41    0.845057    0.846203  0.00132852
          42    0.855812    0.846432  0.00131644
          43    0.855035    0.846632  0.00130095
          44    0.845056    0.846596  0.00127187
          45    0.849328    0.846657  0.00124506
          46    0.853514    0.846806  0.00122688
          47    0.855911    0.846999  0.00121598
          48     0.85849    0.847239  0.00121398
          49    0.863699    0.847575  0.00123481
          50    0.839371    0.847411  0.00122096
