#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.05256     1.05256           0
           2     1.02884      1.0407  0.00838659
           3     1.05504     1.04548  0.00681897
           4     1.05379     1.04756  0.00542161
           5     1.07026      1.0521  0.00594149
           6     1.05295     1.05224  0.00495295
           7     1.06734      1.0544  0.00469184
           8      1.0561     1.05461  0.00411016
           9     1.05152     1.05427  0.00366777
          10     1.03182     1.05202  0.00392813
          11     1.06215     1.05294   0.0036773
          12      1.0514     1.05281  0.00337311
          13      1.0366     1.05157  0.00333622
          14      1.0299     1.05002   0.0034381
          15     1.04222      1.0495    0.003248
          16     1.04209     1.04904  0.00307784
          17     1.03432     1.04817  0.00301613
          18     1.04887     1.04821  0.00284882
          19     1.05494     1.04856  0.00272079
          20     1.06722      1.0495  0.00274001
          21     1.04308     1.04919  0.00262654
          22     1.02963      1.0483  0.00265341
          23     1.02933     1.04748  0.00266323
          24     1.04192     1.04724  0.00256231
          25     1.05097     1.04739  0.00246414
          26     1.04577     1.04733  0.00237017
          27     1.02836     1.04663  0.00238431
          28     1.04405     1.04654  0.00230094
          29     1.04741     1.04657  0.00222179
          30     1.05129     1.04672   0.0021533
          31     1.05095     1.04686  0.00208815
          32     1.03259     1.04641  0.00206995
          33     1.06241      1.0469  0.00206321
          34     1.04917     1.04697  0.00200361
          35     1.03876     1.04673  0.00196002
          36     1.03479      1.0464  0.00193345
          37     1.03957     1.04622  0.00188998
          38     1.03118     1.04582  0.00188118
          39      1.0395     1.04566  0.00183991
          40     1.03108     1.04529  0.00182963
          41       1.045     1.04529  0.00178502
          42     1.05874     1.04561  0.00177103
          43     1.05834      1.0459  0.00175445
          44     1.04334     1.04584  0.00171554
          45     1.04967     1.04593  0.00167953
          46     1.05588     1.04615  0.00165689
          47     1.05759     1.04639  0.00163943
          48     1.06135      1.0467  0.00163463
          49     1.06921     1.04716  0.00166455
          50     1.03415      1.0469  0.00165147
