#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.49971    -3.49971           0
           2    -3.49681    -3.49826  0.00102401
           3    -3.49869     -3.4984 0.000692891
           4    -3.49862    -3.49846 0.000521767
           5     -3.4964    -3.49805 0.000556003
           6     -3.4977    -3.49799  0.00046634
           7    -3.49679    -3.49782 0.000430022
           8    -3.49919    -3.49799 0.000409126
           9    -3.49765    -3.49795  0.00036543
          10    -3.49626    -3.49778 0.000365802
          11    -3.49774    -3.49778 0.000332573
          12    -3.49847    -3.49784 0.000309868
          13    -3.49594    -3.49769 0.000318695
          14    -3.49783     -3.4977 0.000296083
          15    -3.49588    -3.49758 0.000300081
          16    -3.49931    -3.49769 0.000300125
          17    -3.49631    -3.49761 0.000293156
          18    -3.49761    -3.49761 0.000276869
          19    -3.49837    -3.49765 0.000265176
          20    -3.49922    -3.49772 0.000263266
          21    -3.49717     -3.4977 0.000252063
          22    -3.49832    -3.49773 0.000242178
          23    -3.49767    -3.49772 0.000231662
          24    -3.49685    -3.49769  0.00022486
          25    -3.49723    -3.49767 0.000216614
          26    -3.49728    -3.49765 0.000208807
          27    -3.49811    -3.49767 0.000201768
          28    -3.49738    -3.49766 0.000194824
          29     -3.4967    -3.49763  0.00019093
          30    -3.49704    -3.49761 0.000185575
          31    -3.49941    -3.49767 0.000188492
          32    -3.49757    -3.49766 0.000182628
          33    -3.49772    -3.49766 0.000177102
          34    -3.49644    -3.49763 0.000175542
          35    -3.49699    -3.49761 0.000171478
          36    -3.49861    -3.49764 0.000168934
          37    -3.49731    -3.49763 0.000164602
          38    -3.49776    -3.49763 0.000160307
          39    -3.49954    -3.49768 0.000163492
          40    -3.49707    -3.49767 0.000160118
          41     -3.4994    -3.49771 0.000161671
          42    -3.49755     -3.4977 0.000157865
          43    -3.49914    -3.49774 0.000157671
          44    -3.49918    -3.49777 0.000157469
          45    -3.49789    -3.49777 0.000153992
          46    -3.49956    -3.49781 0.000155477
          47    -3.49866    -3.49783 0.000153205
          48    -3.49866    -3.49785 0.000150984
          49    -3.49995    -3.49789 0.000153884
          50    -3.49508    -3.49783 0.000160764
