#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.20999     1.20999           0
           2     1.21666     1.21333  0.00235817
           3     1.22367     1.21678  0.00322352
           4     1.21683     1.21679  0.00241767
           5     1.21528     1.21649  0.00195279
           6     1.21081     1.21554  0.00184249
           7     1.21844     1.21595  0.00162512
           8     1.22002     1.21646  0.00149925
           9     1.21756     1.21658  0.00133761
          10     1.20912     1.21584  0.00139665
          11     1.22081     1.21629  0.00134093
          12     1.21234     1.21596  0.00126901
          13     1.21144     1.21561  0.00121813
          14     1.21235     1.21538   0.0011532
          15     1.21723      1.2155  0.00108287
          16     1.21814     1.21567  0.00102768
          17     1.21251     1.21548  0.00098388
          18      1.2138     1.21539 0.000933632
          19     1.20945     1.21508 0.000935433
          20      1.2202     1.21533 0.000923083
          21     1.21644     1.21539 0.000880634
          22      1.2185     1.21553 0.000851924
          23     1.22224     1.21582   0.0008634
          24     1.21366     1.21573 0.000832086
          25     1.21689     1.21578 0.000800103
          26     1.21642      1.2158 0.000769719
          27     1.22004     1.21596 0.000757036
          28     1.21562     1.21595 0.000730097
          29      1.2181     1.21602 0.000708694
          30     1.21645     1.21603 0.000685213
          31      1.2084     1.21579 0.000705971
          32     1.22367     1.21603 0.000725576
          33     1.21614     1.21604 0.000703596
          34     1.21783     1.21609 0.000684878
          35      1.2154     1.21607 0.000665592
          36     1.22059      1.2162  0.00065882
          37     1.21312     1.21611 0.000646251
          38     1.21641     1.21612 0.000629292
          39     1.20734     1.21589  0.00065216
          40     1.21343     1.21583 0.000638764
          41     1.21457      1.2158 0.000623931
          42      1.2091     1.21564 0.000629139
          43     1.21712     1.21568 0.000615448
          44     1.21301     1.21562 0.000604442
          45     1.20773     1.21544 0.000615916
          46     1.22257      1.2156 0.000621711
          47     1.21859     1.21566 0.000611744
          48     1.21504     1.21565 0.000599133
          49     1.21389     1.21561 0.000587981
          50     1.21549     1.21561 0.000576226
