#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.64199    -6.64199           0
           2    -6.64884    -6.64542   0.0024245
           3    -6.65476    -6.64853  0.00301424
           4    -6.64892    -6.64863   0.0022622
           5    -6.64708    -6.64832  0.00183075
           6    -6.64291    -6.64742  0.00173311
           7    -6.65048    -6.64785  0.00153959
           8    -6.65182    -6.64835  0.00142471
           9    -6.64975    -6.64851  0.00127484
          10    -6.64078    -6.64773  0.00136161
          11    -6.65298    -6.64821  0.00131881
          12    -6.64446     -6.6479  0.00124535
          13    -6.64281    -6.64751  0.00120956
          14    -6.64475    -6.64731  0.00113904
          15    -6.64944    -6.64745  0.00107189
          16    -6.65006    -6.64761   0.0010172
          17    -6.64451    -6.64743 0.000973586
          18    -6.64552    -6.64733 0.000925254
          19    -6.64157    -6.64702 0.000924854
          20    -6.65282    -6.64731 0.000922917
          21    -6.64898    -6.64739 0.000882363
          22    -6.65111    -6.64756 0.000858287
          23     -6.6538    -6.64783   0.0008628
          24    -6.64585    -6.64775 0.000830782
          25     -6.6498    -6.64783   0.0008016
          26    -6.64817    -6.64784 0.000770876
          27    -6.65265    -6.64802 0.000762618
          28    -6.64775    -6.64801 0.000735443
          29    -6.65032    -6.64809 0.000714361
          30    -6.64871    -6.64811 0.000690847
          31    -6.63983    -6.64785 0.000718386
          32    -6.65556    -6.64809  0.00073527
          33    -6.64688    -6.64805 0.000713892
          34    -6.65006    -6.64811 0.000695342
          35    -6.64729    -6.64809 0.000675865
          36    -6.65273    -6.64822 0.000669267
          37    -6.64591    -6.64815 0.000654074
          38    -6.64822    -6.64815 0.000636864
          39    -6.63842    -6.64791 0.000667634
          40    -6.64559    -6.64785 0.000653441
          41    -6.64576     -6.6478 0.000639486
          42    -6.64055    -6.64762 0.000647132
          43    -6.64881    -6.64765 0.000632674
          44    -6.64438    -6.64758 0.000622654
          45    -6.63993    -6.64741   0.0006316
          46    -6.65419    -6.64755 0.000634858
          47    -6.65012    -6.64761 0.000623699
          48     -6.6474    -6.64761  0.00061072
          49    -6.64588    -6.64757 0.000599274
          50    -6.64737    -6.64757 0.000587301
