#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.968997    0.968997           0
           2    0.973626    0.971312  0.00163648
           3    0.978545    0.973723   0.0022507
           4    0.973767    0.973734  0.00168805
           5    0.972706    0.973528  0.00136291
           6    0.969744    0.972898  0.00127335
           7    0.975099    0.973212  0.00112962
           8    0.975949    0.973554  0.00103893
           9    0.974426    0.973651 0.000927999
          10    0.968508    0.973137  0.00096727
          11    0.976553    0.973447 0.000927856
          12    0.970752    0.973223 0.000877303
          13    0.970119    0.972984 0.000841672
          14    0.970666    0.972818 0.000797668
          15    0.973981    0.972896 0.000748244
          16    0.974612    0.973003 0.000709123
          17    0.970888    0.972879  0.00067824
          18    0.971858    0.972822 0.000642925
          19    0.968798     0.97261 0.000643017
          20    0.976215    0.972791  0.00063563
          21    0.973596    0.972829 0.000606517
          22    0.974964    0.972926 0.000586664
          23    0.977587    0.973129 0.000595135
          24    0.971676    0.973068 0.000573409
          25    0.973714    0.973094 0.000551055
          26    0.973554    0.973112 0.000530145
          27    0.976084    0.973222 0.000521814
          28    0.973095    0.973217 0.000503198
          29    0.974707    0.973269 0.000488461
          30     0.97362     0.97328 0.000472319
          31    0.968184    0.973116 0.000484844
          32    0.978578    0.973287 0.000498835
          33     0.97336    0.973289 0.000483724
          34    0.974478    0.973324 0.000470759
          35    0.972722    0.973307 0.000457623
          36    0.976295     0.97339 0.000452379
          37    0.971172     0.97333 0.000444107
          38    0.973472    0.973333 0.000432436
          39     0.96719    0.973176 0.000449124
          40    0.971302    0.973129 0.000440331
          41    0.972163    0.973105 0.000430221
          42    0.968424    0.972994 0.000434175
          43    0.973857    0.973014 0.000424541
          44    0.971081     0.97297  0.00041716
          45     0.96748    0.972848 0.000425355
          46    0.977708    0.972954 0.000429027
          47    0.974952    0.972996    0.000422
          48      0.9727     0.97299 0.000413253
          49    0.971745    0.972965   0.0004056
          50    0.972977    0.972965 0.000397488
