#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.806663    0.806663           0
           2    0.811109    0.808886  0.00157211
           3    0.815779    0.811184  0.00214902
           4    0.811217    0.811192  0.00161178
           5    0.810189    0.810991  0.00130186
           6    0.807205     0.81036  0.00122833
           7    0.812292    0.810636  0.00108341
           8    0.813345    0.810975 0.000999503
           9    0.811706    0.811056  0.00089174
          10     0.80608    0.810559 0.000931103
          11    0.813876     0.81086 0.000893954
          12    0.808225    0.810641  0.00084601
          13    0.807626    0.810409 0.000812083
          14    0.808233    0.810253 0.000768798
          15    0.811485    0.810335 0.000721916
          16    0.812095    0.810445 0.000685117
          17    0.808339    0.810322  0.00065592
          18    0.809202    0.810259 0.000622421
          19    0.806297    0.810051 0.000623622
          20    0.813467    0.810222 0.000615389
          21    0.810961    0.810257  0.00058709
          22    0.812335    0.810351 0.000567949
          23    0.814825    0.810546   0.0005756
          24    0.809108    0.810486 0.000554724
          25    0.811262    0.810517 0.000533402
          26     0.81095    0.810534 0.000513146
          27    0.813358    0.810638 0.000504691
          28    0.810411     0.81063 0.000486731
          29    0.812067     0.81068 0.000472463
          30    0.810963    0.810689 0.000456809
          31      0.8056    0.810525 0.000470647
          32    0.815778    0.810689 0.000483717
          33     0.81076    0.810691 0.000469064
          34    0.811887    0.810726 0.000456585
          35    0.810267    0.810713 0.000443728
          36    0.813724    0.810797 0.000439213
          37    0.808744    0.810741 0.000430834
          38    0.810939    0.810747 0.000419528
          39    0.804895    0.810597 0.000434774
          40    0.808953    0.810555 0.000425842
          41    0.809711    0.810535 0.000415954
          42    0.806068    0.810428 0.000419426
          43    0.811415    0.810451 0.000410299
          44    0.808672    0.810411 0.000402961
          45    0.805151    0.810294 0.000410611
          46    0.815046    0.810397 0.000414474
          47    0.812395     0.81044 0.000407829
          48     0.81003    0.810431 0.000399422
          49    0.809259    0.810407 0.000391987
          50    0.810326    0.810406 0.000384151
