#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.43199    -5.43199           0
           2    -5.43218    -5.43209 6.63302e-05
           3     -5.4311    -5.43176 0.000273544
           4    -5.43209    -5.43184 0.000217464
           5     -5.4318    -5.43183 0.000174117
           6    -5.43211    -5.43188 0.000150989
           7    -5.43204     -5.4319  0.00013114
           8     -5.4318    -5.43189 0.000115316
           9    -5.43219    -5.43192 0.000107228
          10    -5.43166    -5.43189 9.97178e-05
          11    -5.43217    -5.43192 9.37106e-05
          12    -5.43213    -5.43194 8.74491e-05
          13    -5.43137    -5.43189 9.10425e-05
          14     -5.4324    -5.43193 9.15272e-05
          15    -5.43221    -5.43195 8.73017e-05
          16    -5.43192    -5.43195 8.18698e-05
          17      -5.432    -5.43195 7.71232e-05
          18    -5.43172    -5.43194 7.38843e-05
          19    -5.43212    -5.43195 7.06391e-05
          20    -5.43262    -5.43198 7.46911e-05
          21    -5.43254    -5.43201  7.5672e-05
          22    -5.43261    -5.43203 7.70124e-05
          23    -5.43156    -5.43201 7.63198e-05
          24    -5.43219    -5.43202 7.34954e-05
          25    -5.43291    -5.43206    7.87e-05
          26    -5.43175    -5.43204 7.65685e-05
          27    -5.43262    -5.43207 7.66051e-05
          28    -5.43214    -5.43207 7.39117e-05
          29    -5.43222    -5.43207 7.15405e-05
          30    -5.43227    -5.43208 6.94445e-05
          31    -5.43143    -5.43206 7.03018e-05
          32    -5.43189    -5.43205 6.82939e-05
          33    -5.43074    -5.43201 7.69027e-05
          34    -5.43223    -5.43202 7.49061e-05
          35    -5.43189    -5.43202 7.28528e-05
          36    -5.43214    -5.43202   7.091e-05
          37    -5.43279    -5.43204 7.20124e-05
          38    -5.43181    -5.43204  7.0374e-05
          39    -5.43108    -5.43201 7.27027e-05
          40    -5.43216    -5.43201 7.09869e-05
          41    -5.43119    -5.43199  7.2028e-05
          42    -5.43145    -5.43198 7.14884e-05
          43    -5.43169    -5.43197 7.01403e-05
          44    -5.43137    -5.43196 6.98801e-05
          45     -5.4322    -5.43197 6.85302e-05
          46    -5.43162    -5.43196 6.74445e-05
          47    -5.43153    -5.43195 6.66212e-05
          48    -5.43236    -5.43196 6.57728e-05
          49    -5.43199    -5.43196 6.44334e-05
          50    -5.43189    -5.43196 6.31611e-05
