#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.430913   -0.430913           0
           2   -0.387253   -0.409083   0.0154362
           3   -0.396549   -0.404905   0.0108415
           4   -0.400604    -0.40383  0.00818428
           5   -0.450793   -0.413222   0.0106511
           6   -0.472407   -0.423087   0.0126438
           7    -0.46208   -0.428657   0.0120021
           8   -0.429477    -0.42876   0.0105023
           9   -0.398662   -0.425415  0.00985342
          10   -0.408568   -0.423731  0.00901096
          11   -0.440572   -0.425262  0.00832083
          12   -0.385011   -0.421907  0.00827593
          13   -0.399785   -0.420206  0.00781231
          14   -0.416881   -0.419968   0.0072579
          15   -0.422637   -0.420146  0.00677622
          16   -0.380636   -0.417677  0.00678775
          17    -0.41485    -0.41751   0.0063905
          18   -0.443261   -0.418941  0.00619354
          19   -0.457633   -0.420977  0.00619331
          20   -0.431197   -0.421488  0.00590469
          21   -0.471221   -0.423857  0.00607991
          22   -0.468614   -0.425891  0.00613449
          23   -0.472792    -0.42793  0.00619743
          24   -0.418317    -0.42753  0.00595213
          25   -0.382062   -0.425711  0.00598546
          26   -0.384735   -0.424135  0.00595912
          27   -0.368059   -0.422058  0.00608958
          28   -0.392992    -0.42102  0.00595992
          29   -0.392008    -0.42002  0.00583776
          30   -0.416759   -0.419911  0.00564418
          31   -0.458958   -0.421171   0.0056009
          32   -0.459848   -0.422379  0.00555476
          33   -0.394432   -0.421532  0.00545061
          34   -0.394665   -0.420742  0.00534727
          35   -0.376989   -0.419492  0.00533862
          36   -0.393987   -0.418784  0.00523712
          37   -0.387479   -0.417937  0.00516347
          38   -0.414328   -0.417842  0.00502846
          39   -0.399952   -0.417384   0.0049204
          40   -0.409156   -0.417178  0.00480169
          41   -0.399403   -0.416744  0.00470411
          42   -0.406453   -0.416499  0.00459848
          43    -0.45949   -0.417499  0.00459894
          44   -0.473172   -0.418764  0.00466523
          45   -0.445113    -0.41935  0.00459816
          46   -0.431575   -0.419616  0.00450587
          47   -0.442367     -0.4201  0.00443593
          48   -0.413659   -0.419966  0.00434554
          49   -0.354502    -0.41863   0.0044575
          50   -0.337603   -0.417009  0.00465361
