#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0606406   0.0606406           0
           2   0.0592072   0.0599239 0.000506773
           3   0.0595366   0.0597948 0.000353913
           4    0.059636   0.0597551 0.000267651
           5   0.0613135   0.0600668 0.000351515
           6   0.0620257   0.0603933 0.000417888
           7   0.0616943   0.0605791 0.000397378
           8   0.0606523   0.0605883 0.000347811
           9   0.0595773   0.0604759 0.000326801
          10   0.0599268    0.060421 0.000298699
          11   0.0610275   0.0604762 0.000276586
          12   0.0591794   0.0603681 0.000273835
          13   0.0596257    0.060311 0.000258658
          14   0.0602116   0.0603039  0.00024028
          15   0.0604174   0.0603115  0.00022438
          16   0.0589849   0.0602286 0.000225154
          17   0.0601491   0.0602239 0.000211958
          18   0.0610527   0.0602699 0.000205124
          19   0.0615648   0.0603381 0.000205338
          20   0.0606548   0.0603539 0.000195681
          21   0.0620104   0.0604328 0.000201636
          22    0.061917   0.0605003 0.000203444
          23   0.0620724   0.0605686  0.00020576
          24   0.0602714   0.0605562 0.000197559
          25   0.0590415   0.0604956 0.000198731
          26   0.0591244   0.0604429 0.000197963
          27   0.0586297   0.0603757   0.0002017
          28   0.0593942   0.0603407 0.000197519
          29   0.0593498   0.0603065 0.000193641
          30   0.0601862   0.0603025 0.000187228
          31   0.0616076   0.0603446 0.000185861
          32   0.0616324   0.0603848 0.000184359
          33   0.0594507   0.0603565 0.000180933
          34   0.0594812   0.0603308 0.000177433
          35   0.0588808   0.0602894 0.000177134
          36   0.0594319   0.0602656 0.000173808
          37   0.0592212   0.0602373 0.000171387
          38   0.0601218   0.0602343 0.000166904
          39   0.0596599   0.0602196 0.000163273
          40    0.059947   0.0602127 0.000159333
          41   0.0596067    0.060198 0.000156131
          42   0.0598141   0.0601888 0.000152681
          43   0.0615796   0.0602212 0.000152517
          44   0.0621078    0.060264 0.000154961
          45   0.0611784   0.0602844 0.000152844
          46   0.0607114   0.0602936 0.000149803
          47   0.0610604     0.06031 0.000147501
          48   0.0600974   0.0603055 0.000144495
          49   0.0581153   0.0602608 0.000148298
          50    0.057564   0.0602069  0.00015483
