#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.21534     1.21534           0
           2     1.18615     1.20075   0.0103174
           3     1.19241     1.19797  0.00724275
           4     1.19514     1.19726  0.00546654
           5     1.22853     1.20351  0.00710072
           6     1.24292     1.21008  0.00842346
           7     1.23596     1.21378  0.00799059
           8      1.2143     1.21384  0.00699203
           9     1.19383     1.21162  0.00655925
          10     1.20043      1.2105    0.005998
          11     1.22188     1.21154  0.00554128
          12     1.18484     1.20931  0.00550803
          13     1.19464     1.20818  0.00519872
          14     1.20601     1.20803   0.0048297
          15     1.20986     1.20815  0.00450927
          16     1.18183      1.2065  0.00451755
          17     1.20458     1.20639  0.00425323
          18     1.22345     1.20734  0.00412116
          19     1.23299     1.20869  0.00411943
          20      1.2154     1.20902  0.00392709
          21      1.2421      1.2106  0.00404355
          22     1.24037     1.21195  0.00407992
          23      1.2432     1.21331  0.00412252
          24     1.20699     1.21305  0.00395916
          25     1.18288     1.21184  0.00398045
          26     1.18462     1.21079  0.00396262
          27     1.17347     1.20941  0.00404984
          28     1.19004     1.20872  0.00396382
          29     1.18936     1.20805  0.00388293
          30     1.20581     1.20798  0.00375422
          31     1.23402     1.20882  0.00372589
          32     1.23469     1.20963  0.00369617
          33     1.19109     1.20906  0.00362661
          34     1.19127     1.20854   0.0035575
          35     1.17947     1.20771   0.0035515
          36     1.19077     1.20724  0.00348388
          37      1.1864     1.20668  0.00343495
          38     1.20421     1.20661  0.00334517
          39     1.19465      1.2063  0.00327343
          40     1.20086     1.20617  0.00319443
          41     1.19431     1.20588  0.00312959
          42     1.19903     1.20572  0.00305932
          43     1.23439     1.20638  0.00306001
          44     1.24349     1.20723  0.00310453
          45     1.22479     1.20762  0.00305998
          46     1.21582     1.20779  0.00299865
          47     1.22303     1.20812  0.00295231
          48     1.20391     1.20803   0.0028921
          49     1.16448     1.20714  0.00296654
          50     1.15318     1.20606  0.00309732
