#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.39209     1.39209           0
           2     1.39198     1.39204 3.99236e-05
           3     1.39207     1.39205 2.79435e-05
           4      1.3921     1.39206 2.39901e-05
           5     1.39201     1.39205 2.15002e-05
           6     1.39197     1.39204 2.16531e-05
           7     1.39187     1.39201 2.89234e-05
           8     1.39197     1.39201 2.58584e-05
           9     1.39208     1.39201 2.43279e-05
          10     1.39208     1.39202 2.27297e-05
          11     1.39225     1.39204  2.8976e-05
          12     1.39225     1.39206 3.12274e-05
          13     1.39217     1.39207 2.99564e-05
          14     1.39213     1.39207 2.81225e-05
          15     1.39216     1.39208 2.68195e-05
          16     1.39211     1.39208 2.52045e-05
          17     1.39202     1.39208  2.3957e-05
          18     1.39191     1.39207 2.43123e-05
          19     1.39185     1.39205 2.56165e-05
          20      1.3919     1.39205 2.54797e-05
          21     1.39192     1.39204 2.49547e-05
          22     1.39194     1.39204 2.42239e-05
          23     1.39201     1.39204 2.32078e-05
          24     1.39216     1.39204 2.28338e-05
          25     1.39226     1.39205 2.34821e-05
          26      1.3922     1.39205 2.32716e-05
          27     1.39214     1.39206  2.2629e-05
          28     1.39207     1.39206 2.18288e-05
          29     1.39203     1.39206 2.10916e-05
          30     1.39196     1.39205 2.06474e-05
          31     1.39207     1.39205 1.99841e-05
          32     1.39219     1.39206 1.98083e-05
          33      1.3922     1.39206 1.96385e-05
          34     1.39224     1.39207 1.97515e-05
          35     1.39221     1.39207 1.96148e-05
          36     1.39217     1.39208  1.9257e-05
          37     1.39212     1.39208 1.87742e-05
          38     1.39198     1.39207 1.84465e-05
          39     1.39202     1.39207 1.80321e-05
          40     1.39213     1.39207 1.76396e-05
          41     1.39206     1.39207 1.72133e-05
          42     1.39209     1.39207 1.68102e-05
          43      1.3921     1.39207 1.64324e-05
          44     1.39207     1.39207 1.60595e-05
          45     1.39208     1.39207 1.57027e-05
          46     1.39215     1.39208 1.54545e-05
          47     1.39217     1.39208 1.52573e-05
          48     1.39221     1.39208 1.51728e-05
          49     1.39221     1.39208 1.50924e-05
          50     1.39217     1.39209 1.48788e-05
