#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.05083    -5.05083           0
           2    -5.00809    -5.02946   0.0151093
           3     -5.0133    -5.02407   0.0109911
           4    -5.05197    -5.03105    0.010219
           5    -5.03138    -5.03112  0.00817545
           6    -5.02904    -5.03077  0.00682017
           7    -4.99783    -5.02606  0.00729092
           8    -5.02574    -5.02602  0.00637967
           9     -5.0357     -5.0271   0.0057608
          10    -5.02499    -5.02689  0.00518857
          11    -5.00732    -5.02511  0.00501262
          12     -5.0212    -5.02478  0.00460545
          13    -5.03696    -5.02572  0.00434547
          14    -5.03554    -5.02642  0.00409129
          15    -5.05263    -5.02817  0.00417494
          16    -5.02099    -5.02772  0.00393802
          17     -5.0076    -5.02654  0.00388011
          18    -5.05198    -5.02795  0.00391354
          19    -5.02155    -5.02761  0.00372205
          20    -5.04492    -5.02848  0.00363511
          21    -5.05002     -5.0295   0.0036038
          22    -5.05058    -5.03046   0.0035651
          23    -5.02251    -5.03012   0.0034268
          24    -5.03381    -5.03027  0.00328746
          25    -5.02551    -5.03008  0.00316147
          26    -4.98402    -5.02831  0.00350125
          27    -4.98504    -5.02671   0.0037203
          28    -5.03193    -5.02689   0.0035921
          29    -5.01281    -5.02641   0.0035009
          30    -5.04962    -5.02718  0.00346869
          31     -4.9865    -5.02587  0.00359649
          32    -5.02328    -5.02579  0.00348501
          33    -5.02827    -5.02586  0.00338021
          34    -5.04679    -5.02648  0.00333636
          35    -5.04036    -5.02687  0.00326454
          36    -5.02155    -5.02673  0.00317721
          37    -5.03446    -5.02694  0.00309821
          38    -5.07964    -5.02832  0.00331262
          39    -5.03015    -5.02837  0.00322801
          40    -5.00414    -5.02776  0.00320366
          41    -4.99114    -5.02687   0.0032477
          42    -5.03564    -5.02708  0.00317707
          43    -4.99374     -5.0263  0.00319638
          44    -5.03367    -5.02647  0.00312811
          45    -5.02218    -5.02638  0.00306005
          46    -5.02618    -5.02637  0.00299353
          47    -5.07611    -5.02743   0.0031113
          48    -5.03389    -5.02756  0.00304939
          49    -5.02233    -5.02746  0.00298903
          50    -5.04513    -5.02781  0.00295007
