#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.1152      1.1152           0
           2     1.08627     1.10073    0.010227
           3     1.09018     1.09722  0.00739775
           4     1.11476      1.1016  0.00672355
           5     1.10101     1.10148  0.00537988
           6     1.10001     1.10124  0.00448881
           7     1.07937     1.09811  0.00481334
           8     1.09762     1.09805  0.00421207
           9     1.10508     1.09883  0.00381567
          10     1.09769     1.09872  0.00343582
          11      1.0883     1.09777  0.00325149
          12     1.09605     1.09763  0.00298369
          13     1.10654     1.09831  0.00283182
          14     1.10478     1.09878   0.0026669
          15     1.11568      1.0999  0.00271673
          16     1.09544     1.09962  0.00256121
          17     1.08795     1.09894  0.00250084
          18     1.11494     1.09983  0.00251503
          19     1.09606     1.09963  0.00239044
          20     1.11207     1.10025  0.00235047
          21     1.11351     1.10088   0.0023218
          22     1.11491     1.10152  0.00230222
          23     1.09539     1.10125  0.00221751
          24      1.1019     1.10128  0.00212527
          25     1.09693     1.10111  0.00204737
          26     1.07082     1.09994  0.00227605
          27     1.07128     1.09888  0.00242672
          28     1.10187     1.09899  0.00234241
          29     1.09019     1.09868  0.00228117
          30     1.11506     1.09923  0.00226951
          31     1.07236     1.09836  0.00235597
          32     1.09707     1.09832   0.0022827
          33     1.10165     1.09842  0.00221575
          34     1.11145     1.09881  0.00218346
          35     1.10773     1.09906  0.00213592
          36      1.0968       1.099  0.00207751
          37     1.10518     1.09917  0.00202808
          38     1.13473      1.1001  0.00217998
          39     1.10058     1.10011  0.00212412
          40     1.08412     1.09971  0.00210833
          41      1.0753     1.09912  0.00213932
          42     1.10398     1.09923  0.00209152
          43     1.07659     1.09871  0.00210811
          44     1.10301     1.09881  0.00206246
          45     1.09638     1.09875  0.00201733
          46     1.09831     1.09874   0.0019735
          47      1.1322     1.09945  0.00205589
          48     1.10339     1.09954   0.0020147
          49     1.09675     1.09948  0.00197438
          50     1.11165     1.09972  0.00194986
