#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.20173     1.20173           0
           2     1.19377     1.19775  0.00281653
           3     1.19891     1.19814  0.00190417
           4     1.19774     1.19804  0.00143073
           5     1.19718     1.19787  0.00115473
           6     1.19865       1.198 0.000969718
           7     1.19831     1.19804 0.000832194
           8     1.20364     1.19874 0.000979038
           9     1.19178     1.19797  0.00113568
          10     1.20118     1.19829  0.00106669
          11     1.20196     1.19862  0.00102058
          12     1.19692     1.19848  0.00094533
          13      1.2024     1.19878 0.000919477
          14     1.19991     1.19886 0.000857353
          15     1.19955     1.19891 0.000801424
          16     1.20067     1.19902 0.000758842
          17     1.18865     1.19841 0.000927373
          18     1.20307     1.19867 0.000911326
          19     1.19971     1.19872 0.000865021
          20     1.20151     1.19886 0.000832888
          21     1.20068     1.19895 0.000797714
          22     1.18662     1.19839 0.000937819
          23     1.19779     1.19836 0.000897405
          24     1.20373     1.19859 0.000887469
          25      1.1934     1.19838 0.000875899
          26     1.20421      1.1986 0.000870446
          27     1.19571      1.1985  0.00084478
          28     1.19625     1.19842 0.000818405
          29     1.20111     1.19851 0.000795446
          30     1.19811      1.1985 0.000769045
          31      1.1969     1.19844 0.000745955
          32     1.20175     1.19855 0.000729774
          33     1.20294     1.19868 0.000719678
          34     1.19515     1.19858 0.000705968
          35     1.20158     1.19866 0.000690989
          36      1.1989     1.19867 0.000671826
          37     1.19463     1.19856 0.000662456
          38     1.19831     1.19855 0.000645055
          39      1.2018     1.19864 0.000633877
          40     1.19156     1.19846 0.000642211
          41     1.20812      1.1987 0.000668414
          42     1.19672     1.19865 0.000654147
          43     1.19998     1.19868 0.000639671
          44     1.19242     1.19854 0.000640758
          45     1.19484     1.19846 0.000631772
          46     1.19701     1.19842 0.000618814
          47     1.19923     1.19844 0.000605887
          48     1.20336     1.19854 0.000601877
          49     1.20036     1.19858 0.000590729
          50     1.19395     1.19849 0.000586126
