#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.66459    -6.66459           0
           2    -6.65707    -6.66083  0.00265864
           3    -6.66181    -6.66116  0.00179218
           4    -6.66027    -6.66093  0.00135778
           5    -6.65925     -6.6606  0.00112733
           6    -6.66243     -6.6609 0.000980037
           7    -6.66163    -6.66101 0.000845478
           8    -6.66642    -6.66168 0.000973332
           9    -6.65463     -6.6609  0.00113746
          10    -6.66445    -6.66125  0.00107771
          11    -6.66424    -6.66153  0.00101332
          12    -6.65982    -6.66138 0.000938757
          13    -6.66475    -6.66164 0.000901569
          14    -6.66251    -6.66171 0.000839294
          15    -6.66148    -6.66169 0.000783473
          16    -6.66303    -6.66177 0.000738993
          17    -6.65075    -6.66113 0.000937986
          18    -6.66617    -6.66141 0.000926774
          19    -6.66315     -6.6615 0.000882552
          20    -6.66455    -6.66165 0.000851521
          21    -6.66205    -6.66167 0.000811187
          22    -6.64803    -6.66105 0.000982989
          23    -6.66028    -6.66102 0.000940825
          24    -6.66581    -6.66122 0.000922568
          25    -6.65589      -6.661 0.000909888
          26     -6.6669    -6.66123 0.000902731
          27    -6.65903    -6.66115 0.000872972
          28     -6.6603    -6.66112 0.000842315
          29    -6.66451    -6.66123 0.000821334
          30     -6.6608    -6.66122 0.000794085
          31    -6.66061     -6.6612 0.000768716
          32    -6.66462    -6.66131 0.000752084
          33    -6.66613    -6.66145 0.000743341
          34    -6.65866    -6.66137 0.000726018
          35    -6.66437    -6.66146 0.000710306
          36    -6.66217    -6.66148 0.000690851
          37    -6.65586    -6.66132 0.000688663
          38    -6.66058    -6.66131 0.000670817
          39    -6.66609    -6.66143 0.000664748
          40    -6.65447    -6.66125 0.000670514
          41    -6.67027    -6.66147  0.00068926
          42    -6.66009    -6.66144 0.000673635
          43     -6.6625    -6.66147 0.000658415
          44    -6.65413     -6.6613 0.000664197
          45     -6.6577    -6.66122 0.000654221
          46    -6.66001    -6.66119 0.000640524
          47    -6.66183    -6.66121 0.000627041
          48    -6.66685    -6.66132 0.000624897
          49    -6.66423    -6.66138 0.000614956
          50    -6.65649    -6.66129 0.000610384
