#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.962091    0.962091           0
           2    0.956479    0.959285  0.00198392
           3    0.959894    0.959488  0.00133298
           4    0.959213    0.959419   0.0010015
           5    0.958727    0.959281 0.000810719
           6    0.959856    0.959377 0.000681243
           7    0.959787    0.959435 0.000586441
           8    0.963338    0.959923 0.000686689
           9    0.955248    0.959404 0.000782599
          10    0.961522    0.959616 0.000732445
          11    0.962145    0.959846 0.000701031
          12    0.958788    0.959757 0.000648131
          13    0.962396     0.95996 0.000629252
          14    0.960703    0.960013 0.000586536
          15    0.960484    0.960045 0.000548273
          16     0.96103    0.960106 0.000517451
          17    0.952779    0.959675 0.000641911
          18    0.962946    0.959857  0.00063144
          19    0.960529    0.959892 0.000599195
          20    0.961601    0.959978 0.000575293
          21    0.961111    0.960032 0.000550421
          22    0.951762    0.959656 0.000641024
          23     0.95927    0.959639 0.000613372
          24     0.96321    0.959788 0.000605589
          25    0.956203    0.959644 0.000598105
          26    0.963612    0.959797 0.000594252
          27    0.957678    0.959718 0.000577404
          28    0.958297    0.959668 0.000559011
          29     0.96148     0.95973 0.000543217
          30    0.959509    0.959723  0.00052516
          31    0.958625    0.959687 0.000509412
          32    0.961895    0.959756 0.000498143
          33     0.96265    0.959844 0.000490703
          34    0.957348    0.959771 0.000481729
          35    0.961678    0.959825 0.000471038
          36    0.959903    0.959827 0.000457958
          37    0.957071    0.959753   0.0004516
          38    0.959386    0.959743 0.000439819
          39    0.961713    0.959794 0.000431433
          40    0.954888    0.959671 0.000437732
          41    0.966223    0.959831 0.000455292
          42    0.958306    0.959795 0.000445896
          43     0.96052    0.959811 0.000435846
          44    0.955541    0.959714 0.000436614
          45    0.957133    0.959657 0.000430662
          46    0.958614    0.959634 0.000421897
          47    0.960097    0.959644 0.000413035
          48    0.962831    0.959711 0.000409732
          49    0.960914    0.959735 0.000402105
          50    0.956582    0.959672 0.000398978
