#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.801154    0.801154           0
           2    0.795843    0.798499  0.00187768
           3    0.799274    0.798757  0.00126945
           4    0.798492    0.798691 0.000953818
           5    0.798122    0.798577  0.00076982
           6    0.799102    0.798665 0.000646479
           7    0.798871    0.798694 0.000554796
           8    0.802425     0.79916 0.000652692
           9    0.794517    0.798645 0.000757117
          10    0.800789    0.798859 0.000711124
          11    0.801306    0.799081 0.000680389
          12    0.797947    0.798987  0.00063022
          13    0.801601    0.799188 0.000612985
          14    0.799943    0.799242 0.000571569
          15    0.799701    0.799273 0.000534283
          16    0.800446    0.799346 0.000505895
          17    0.792435    0.798939 0.000618249
          18    0.802048    0.799112 0.000607551
          19    0.799809    0.799149 0.000576681
          20    0.801004    0.799242 0.000555259
          21    0.800454    0.799299 0.000531809
          22    0.791081    0.798926 0.000625213
          23    0.798527    0.798908  0.00059827
          24    0.802488    0.799058 0.000591646
          25    0.795599    0.798919 0.000583933
          26    0.802806    0.799069 0.000580297
          27    0.797139    0.798997 0.000563187
          28    0.797501    0.798944 0.000545603
          29    0.800741    0.799006 0.000530297
          30    0.798737    0.798997 0.000512696
          31    0.797934    0.798963 0.000497303
          32    0.801168    0.799031 0.000486516
          33    0.801958     0.79912 0.000479785
          34    0.796766    0.799051 0.000470645
          35    0.801052    0.799108 0.000460659
          36    0.799265    0.799112 0.000447884
          37    0.796423     0.79904 0.000441637
          38    0.798875    0.799035 0.000430037
          39    0.801202    0.799091 0.000422584
          40    0.794377    0.798973  0.00042814
          41    0.805417     0.79913 0.000445609
          42    0.797815    0.799099 0.000436098
          43     0.79999     0.79912 0.000426447
          44    0.794947    0.799025 0.000427172
          45    0.796558     0.79897 0.000421181
          46    0.798009    0.798949 0.000412543
          47    0.799488    0.798961 0.000403924
          48    0.802242    0.799029 0.000401251
          49    0.800237    0.799054  0.00039382
          50    0.795967    0.798992 0.000390751
