#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.46286    -5.46286           0
           2    -5.46331    -5.46308 0.000157889
           3     -5.4629    -5.46302 0.000117016
           4    -5.46253     -5.4629 0.000137465
           5    -5.46207    -5.46273 0.000185099
           6    -5.46378    -5.46291 0.000221691
           7    -5.46332    -5.46297 0.000197787
           8    -5.46278    -5.46294 0.000174446
           9    -5.46286    -5.46293  0.00015531
          10    -5.46327    -5.46297 0.000143332
          11    -5.46228     -5.4629 0.000143242
          12     -5.4629     -5.4629 0.000131305
          13    -5.46235    -5.46286 0.000127936
          14     -5.4626    -5.46284 0.000120201
          15    -5.46193    -5.46278 0.000126611
          16    -5.46237    -5.46276 0.000121335
          17    -5.46209    -5.46272 0.000120287
          18     -5.4631    -5.46274 0.000115437
          19    -5.46344    -5.46277 0.000115134
          20    -5.46304    -5.46279 0.000110164
          21    -5.46137    -5.46272 0.000123864
          22    -5.46141    -5.46266 0.000131746
          23    -5.46249    -5.46265 0.000126236
          24    -5.46208    -5.46263 0.000123252
          25     -5.4625    -5.46262 0.000118437
          26    -5.46269    -5.46263  0.00011391
          27    -5.46332    -5.46265  0.00011254
          28    -5.46405     -5.4627 0.000119116
          29     -5.4634    -5.46273 0.000117379
          30    -5.46269    -5.46273 0.000113472
          31    -5.46371    -5.46276 0.000114139
          32    -5.46287    -5.46276 0.000110624
          33    -5.46319    -5.46277  0.00010804
          34    -5.46351    -5.46279 0.000106998
          35    -5.46279    -5.46279 0.000103941
          36    -5.46327    -5.46281 0.000101892
          37    -5.46122    -5.46277 0.000107758
          38    -5.46227    -5.46275 0.000105707
          39    -5.46429    -5.46279 0.000110088
          40     -5.4629    -5.46279 0.000107371
          41    -5.46214    -5.46278 0.000105921
          42    -5.46337    -5.46279 0.000104326
          43    -5.46251    -5.46279 0.000102105
          44    -5.46171    -5.46276 0.000102645
          45    -5.46287    -5.46276 0.000100391
          46      -5.463    -5.46277 9.83386e-05
          47     -5.4626    -5.46277 9.63098e-05
          48    -5.46349    -5.46278 9.54653e-05
          49    -5.46388     -5.4628 9.60999e-05
          50    -5.46254     -5.4628  9.4319e-05
