#   N_BLOCK:  ACCEPTANCE:
           1    0.626227
           2    0.626275
           3    0.626313
           4    0.626017
           5    0.625963
           6    0.625744
           7    0.625728
           8     0.62572
           9    0.625611
          10    0.625622
          11    0.625486
          12    0.625434
          13    0.625338
          14    0.625198
          15    0.625125
          16    0.625039
          17     0.62513
          18    0.625105
          19    0.624961
          20    0.624883
          21    0.624889
          22    0.624996
          23    0.625011
          24    0.625052
          25     0.62501
          26     0.62498
          27    0.625022
          28    0.625021
          29    0.624975
          30    0.624974
          31    0.624998
          32    0.624921
          33    0.624909
          34    0.624915
          35     0.62488
          36      0.6248
          37    0.624864
          38    0.624867
          39    0.624815
          40    0.624834
          41    0.624832
          42    0.624823
          43    0.624779
          44    0.624771
          45    0.624722
          46    0.624709
          47    0.624744
          48     0.62475
          49    0.624798
          50    0.624848
