#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1         1.8         1.8           0
           2         1.8         1.8           0
           3         1.8         1.8           0
           4         1.8         1.8           0
           5         1.8         1.8  1.3328e-08
           6         1.8         1.8 1.21667e-08
           7         1.8         1.8 1.78103e-08
           8         1.8         1.8   1.666e-08
           9         1.8         1.8 1.57072e-08
          10         1.8         1.8 1.49012e-08
          11         1.8         1.8 1.79715e-08
          12         1.8         1.8 1.72064e-08
          13         1.8         1.8 1.65314e-08
          14         1.8         1.8   1.593e-08
          15         1.8         1.8 1.53899e-08
          16         1.8         1.8 1.49012e-08
          17         1.8         1.8 1.44562e-08
          18         1.8         1.8 1.21667e-08
          19         1.8         1.8 1.18422e-08
          20         1.8         1.8 1.05367e-08
          21         1.8         1.8 1.02828e-08
          22         1.8         1.8 1.10052e-08
          23         1.8         1.8 1.07633e-08
          24         1.8         1.8 9.61866e-09
          25         1.8         1.8 9.42432e-09
          26         1.8         1.8 8.26568e-09
          27         1.8         1.8 8.11116e-09
          28         1.8         1.8  6.8979e-09
          29         1.8         1.8 6.77792e-09
          30         1.8         1.8   6.664e-09
          31         1.8         1.8 5.35266e-09
          32         1.8         1.8 5.26836e-09
          33         1.8         1.8 5.18792e-09
          34         1.8         1.8 3.61406e-09
          35         1.8         1.8 3.56206e-09
          36         1.8         1.8 3.51224e-09
          37         1.8         1.8  6.0006e-09
          38         1.8         1.8 5.92112e-09
          39         1.8         1.8  7.5455e-09
          40         1.8         1.8  8.1617e-09
          41         1.8         1.8 7.35916e-09
          42         1.8         1.8 8.60319e-09
          43         1.8         1.8 9.08962e-09
          44         1.8         1.8 8.98574e-09
          45         1.8         1.8 9.42432e-09
          46         1.8         1.8 9.32132e-09
          47         1.8         1.8 9.22162e-09
          48         1.8         1.8 9.12506e-09
          49         1.8         1.8 9.98466e-09
          50         1.8         1.8 9.42432e-09
