#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.409194   -0.409194           0
           2   -0.408578   -0.408886 0.000217917
           3   -0.410426   -0.409399 0.000443471
           4   -0.413645   -0.410461 0.000977575
           5     -0.4125   -0.410869 0.000862971
           6   -0.411757   -0.411017 0.000731728
           7   -0.410576   -0.410954 0.000629901
           8    -0.40841   -0.410636 0.000626271
           9   -0.414608   -0.411077 0.000695022
          10   -0.409599   -0.410929 0.000641043
          11   -0.411912   -0.411019 0.000588955
          12   -0.407843   -0.410754 0.000596366
          13   -0.409646   -0.410669 0.000556544
          14   -0.411739   -0.410745 0.000522009
          15    -0.41376   -0.410946 0.000524483
          16   -0.410602   -0.410925 0.000492144
          17   -0.410223   -0.410883 0.000464921
          18    -0.40882   -0.410769 0.000453002
          19   -0.413344   -0.410904 0.000448982
          20   -0.414259   -0.411072 0.000456795
          21   -0.412142   -0.411123 0.000437875
          22   -0.405226   -0.410855 0.000493248
          23   -0.408152   -0.410737 0.000485605
          24   -0.408958   -0.410663 0.000470997
          25   -0.415472   -0.410856 0.000489867
          26    -0.41105   -0.410863 0.000471083
          27   -0.410401   -0.410846 0.000453946
          28   -0.410523   -0.410835  0.00043788
          29   -0.411975   -0.410874 0.000424545
          30   -0.409757   -0.410837 0.000412022
          31   -0.410382   -0.410822 0.000398992
          32   -0.414407   -0.410934  0.00040194
          33   -0.412588   -0.410984 0.000392873
          34   -0.413446   -0.411057 0.000387933
          35   -0.412691   -0.411103 0.000379651
          36   -0.414635   -0.411201 0.000381571
          37   -0.411716   -0.411215 0.000371512
          38   -0.411624   -0.411226 0.000361891
          39   -0.411719   -0.411239 0.000352833
          40    -0.41129    -0.41124 0.000344015
          41   -0.410569   -0.411224 0.000336013
          42   -0.413457   -0.411277 0.000332194
          43   -0.413138    -0.41132 0.000327278
          44   -0.412949   -0.411357 0.000321927
          45   -0.416873    -0.41148 0.000337303
          46   -0.412225   -0.411496 0.000330359
          47   -0.410982   -0.411485 0.000323511
          48   -0.412499   -0.411506 0.000317461
          49   -0.411096   -0.411498 0.000311092
          50   -0.409221   -0.411452 0.000308186
