#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0599074   0.0599074           0
           2   0.0599021   0.0599048 1.87904e-06
           3   0.0599036   0.0599044 1.28894e-06
           4   0.0599022   0.0599038  1.0783e-06
           5   0.0599045    0.059904 8.71146e-07
           6   0.0599014   0.0599035 8.25863e-07
           7   0.0599044   0.0599037 7.16257e-07
           8   0.0599024   0.0599035  6.4444e-07
           9   0.0598998   0.0599031 6.91252e-07
          10   0.0599008   0.0599029 6.59279e-07
          11   0.0598991   0.0599025  6.8254e-07
          12   0.0599046   0.0599027 6.46927e-07
          13   0.0599034   0.0599027 5.99737e-07
          14   0.0598967   0.0599023 6.94475e-07
          15   0.0599025   0.0599023 6.48262e-07
          16   0.0599005   0.0599022 6.17564e-07
          17   0.0599006   0.0599021 5.88821e-07
          18   0.0598979   0.0599019 6.00778e-07
          19   0.0598991   0.0599017 5.86603e-07
          20   0.0599007   0.0599017 5.59763e-07
          21   0.0598993   0.0599016 5.44446e-07
          22   0.0599006   0.0599015 5.21635e-07
          23   0.0599038   0.0599016 5.08277e-07
          24    0.059903   0.0599017 4.90229e-07
          25   0.0598968   0.0599015 5.08158e-07
          26   0.0599033   0.0599016 4.93543e-07
          27   0.0599028   0.0599016 4.77378e-07
          28   0.0599017   0.0599016  4.6034e-07
          29   0.0599018   0.0599016 4.44527e-07
          30   0.0599013   0.0599016 4.29798e-07
          31   0.0598958   0.0599014 4.54833e-07
          32   0.0599069   0.0599016 4.71589e-07
          33   0.0598968   0.0599014  4.7876e-07
          34   0.0598994   0.0599014 4.68606e-07
          35   0.0599022   0.0599014 4.55838e-07
          36   0.0599037   0.0599015 4.47544e-07
          37   0.0598989   0.0599014 4.40877e-07
          38   0.0599053   0.0599015 4.40776e-07
          39   0.0598979   0.0599014  4.3908e-07
          40   0.0599001   0.0599014 4.29286e-07
          41   0.0599001   0.0599013 4.19899e-07
          42   0.0599024   0.0599014 4.10602e-07
          43   0.0599009   0.0599014 4.01229e-07
          44   0.0599041   0.0599014 3.96872e-07
          45    0.059901   0.0599014 3.88149e-07
          46   0.0599073   0.0599015 4.00571e-07
          47   0.0599028   0.0599016 3.92892e-07
          48    0.059901   0.0599016 3.84892e-07
          49   0.0599026   0.0599016 3.77672e-07
          50   0.0599009   0.0599016 3.70343e-07
