#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.39081     1.39081           0
           2     1.39142     1.39111 0.000217917
           3     1.38957      1.3906 0.000443471
           4     1.38635     1.38954 0.000977575
           5      1.3875     1.38913 0.000862971
           6     1.38824     1.38898 0.000731728
           7     1.38942     1.38905 0.000629901
           8     1.39159     1.38936 0.000626271
           9     1.38539     1.38892 0.000695022
          10      1.3904     1.38907 0.000641043
          11     1.38809     1.38898 0.000588955
          12     1.39216     1.38925 0.000596366
          13     1.39035     1.38933 0.000556544
          14     1.38826     1.38925 0.000522009
          15     1.38624     1.38905 0.000524483
          16      1.3894     1.38908 0.000492144
          17     1.38978     1.38912 0.000464921
          18     1.39118     1.38923 0.000453002
          19     1.38666      1.3891 0.000448982
          20     1.38574     1.38893 0.000456795
          21     1.38786     1.38888 0.000437875
          22     1.39477     1.38914 0.000493248
          23     1.39185     1.38926 0.000485605
          24     1.39104     1.38934 0.000470997
          25     1.38453     1.38914 0.000489867
          26     1.38895     1.38914 0.000471083
          27      1.3896     1.38915 0.000453946
          28     1.38948     1.38917  0.00043788
          29     1.38802     1.38913 0.000424545
          30     1.39024     1.38916 0.000412022
          31     1.38962     1.38918 0.000398992
          32     1.38559     1.38907  0.00040194
          33     1.38741     1.38902 0.000392873
          34     1.38655     1.38894 0.000387933
          35     1.38731      1.3889 0.000379651
          36     1.38536      1.3888 0.000381571
          37     1.38828     1.38878 0.000371512
          38     1.38838     1.38877 0.000361891
          39     1.38828     1.38876 0.000352833
          40     1.38871     1.38876 0.000344015
          41     1.38943     1.38878 0.000336013
          42     1.38654     1.38872 0.000332194
          43     1.38686     1.38868 0.000327278
          44     1.38705     1.38864 0.000321927
          45     1.38313     1.38852 0.000337303
          46     1.38778      1.3885 0.000330359
          47     1.38902     1.38852 0.000323511
          48      1.3875     1.38849 0.000317461
          49      1.3889      1.3885 0.000311092
          50     1.39078     1.38855 0.000308186
