#   N_BLOCK:  ACCEPTANCE:
           1    0.661331
           2    0.661321
           3    0.660997
           4    0.660888
           5    0.660965
           6    0.661316
           7    0.661154
           8    0.661149
           9    0.661228
          10    0.661209
          11    0.661218
          12    0.661135
          13    0.660873
          14    0.660669
          15    0.660679
          16    0.660656
          17    0.660818
          18    0.660771
          19    0.660681
          20    0.660654
          21    0.660404
          22    0.660452
          23    0.660323
          24    0.660343
          25    0.660346
          26    0.660226
          27    0.660287
          28    0.660325
          29    0.660303
          30    0.660265
          31    0.660316
          32    0.660278
          33    0.660287
          34    0.660306
          35     0.66036
          36    0.660355
          37    0.660381
          38    0.660392
          39    0.660378
          40    0.660369
          41    0.660362
          42    0.660343
          43    0.660378
          44    0.660357
          45    0.660396
          46    0.660384
          47    0.660365
          48    0.660318
          49    0.660319
          50    0.660339
