#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1        1.65        1.65           0
           2        1.65        1.65           0
           3        1.65        1.65 1.72064e-08
           4        1.65        1.65           0
           5        1.65        1.65           0
           6        1.65        1.65 1.21667e-08
           7        1.65        1.65 1.37958e-08
           8        1.65        1.65 1.05367e-08
           9        1.65        1.65 9.93411e-09
          10        1.65        1.65   6.664e-09
          11        1.65        1.65 6.35388e-09
          12        1.65        1.65 1.05367e-08
          13        1.65        1.65 1.16894e-08
          14        1.65        1.65 1.12642e-08
          15        1.65        1.65 1.21667e-08
          16        1.65        1.65 1.17804e-08
          17        1.65        1.65 1.14287e-08
          18        1.65        1.65 1.11067e-08
          19        1.65        1.65 1.27911e-08
          20        1.65        1.65 1.24672e-08
          21        1.65        1.65 1.02828e-08
          22        1.65        1.65 1.10052e-08
          23        1.65        1.65 9.82553e-09
          24        1.65        1.65 9.61866e-09
          25        1.65        1.65 5.96046e-09
          26        1.65        1.65 5.84472e-09
          27        1.65        1.65 4.05558e-09
          28        1.65        1.65  3.9825e-09
          29        1.65        1.65 5.53415e-09
          30        1.65        1.65 5.44113e-09
          31        1.65        1.65  7.5698e-09
          32        1.65        1.65 7.45058e-09
          33        1.65        1.65 7.33682e-09
          34        1.65        1.65 8.08129e-09
          35        1.65        1.65 9.42432e-09
          36        1.65        1.65 9.29251e-09
          37        1.65        1.65 9.16607e-09
          38        1.65        1.65 9.66915e-09
          39        1.65        1.65 9.54438e-09
          40        1.65        1.65  8.1617e-09
          41        1.65        1.65 7.35916e-09
          42        1.65        1.65 7.96501e-09
          43        1.65        1.65 6.42733e-09
          44        1.65        1.65 6.35388e-09
          45        1.65        1.65 4.44267e-09
          46        1.65        1.65 4.39411e-09
          47        1.65        1.65 4.34712e-09
          48        1.65        1.65 3.04169e-09
          49        1.65        1.65 3.01049e-09
          50        1.65        1.65 2.98023e-09
