#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.05362    -5.05362           0
           2    -5.02095    -5.03729   0.0115503
           3    -5.02109    -5.03189  0.00887302
           4    -5.02764    -5.03083   0.0067181
           5    -5.04127    -5.03292  0.00569014
           6    -5.07783     -5.0404   0.0083171
           7    -5.01575    -5.03688  0.00783909
           8    -5.02758    -5.03572  0.00694481
           9    -5.04888    -5.03718  0.00632527
          10     -5.0467    -5.03813  0.00576398
          11    -5.03582    -5.03792  0.00524381
          12    -5.04087    -5.03817  0.00481259
          13    -4.99973    -5.03521  0.00527291
          14    -5.01716    -5.03392  0.00505152
          15    -5.03075    -5.03371  0.00471917
          16    -5.04643    -5.03451  0.00449069
          17    -5.05717    -5.03584  0.00441999
          18    -5.05619    -5.03697  0.00431661
          19    -5.01694    -5.03591  0.00421616
          20    -5.03424    -5.03583  0.00400619
          21    -4.98423    -5.03337  0.00450636
          22    -5.05475    -5.03435  0.00440505
          23    -5.00761    -5.03318  0.00436419
          24    -5.05234    -5.03398  0.00425469
          25    -5.04578    -5.03445  0.00411058
          26    -5.01088    -5.03355  0.00405128
          27    -5.03837    -5.03373  0.00390517
          28    -5.05765    -5.03458  0.00385802
          29    -5.03871    -5.03472  0.00372762
          30    -5.03379    -5.03469  0.00360349
          31    -5.04672    -5.03508  0.00350809
          32    -5.02975    -5.03491  0.00340241
          33    -5.02767    -5.03469  0.00330639
          34    -5.03543    -5.03471  0.00320921
          35    -5.05555    -5.03531  0.00317227
          36    -5.05325    -5.03581  0.00312305
          37    -5.05078    -5.03621  0.00306476
          38    -5.03128    -5.03608  0.00298686
          39    -5.04064     -5.0362  0.00291256
          40    -5.03602     -5.0362  0.00283975
          41    -5.03123    -5.03607  0.00277307
          42    -5.01659    -5.03561  0.00274557
          43     -5.0558    -5.03608  0.00272157
          44    -5.04131     -5.0362  0.00266231
          45    -5.05759    -5.03667  0.00264523
          46    -5.03599    -5.03666  0.00258776
          47     -5.0195    -5.03629  0.00255832
          48    -5.04081    -5.03639  0.00250675
          49    -5.04721    -5.03661   0.0024653
          50    -5.05564    -5.03699   0.0024452
