#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.890118    0.890118           0
           2     0.89176    0.890939 0.000580574
           3    0.891534    0.891137 0.000419492
           4    0.891472    0.891221  0.00032287
           5    0.890579    0.891093 0.000282692
           6    0.889274     0.89079 0.000363425
           7    0.891782    0.890931 0.000338056
           8    0.891207    0.890966 0.000297553
           9    0.890332    0.890895 0.000272699
          10     0.89035    0.890841 0.000250819
          11    0.891315    0.890884 0.000231692
          12     0.89105    0.890898 0.000212795
          13      0.8927    0.891036  0.00023734
          14    0.892123    0.891114 0.000232722
          15    0.891265    0.891124 0.000217426
          16    0.890856    0.891107  0.00020448
          17    0.889913    0.891037 0.000204164
          18    0.890557     0.89101 0.000194554
          19    0.891991    0.891062 0.000191029
          20    0.891255    0.891072 0.000181721
          21    0.893291    0.891177 0.000201461
          22    0.890358     0.89114 0.000195716
          23    0.892459    0.891197 0.000195421
          24    0.890415    0.891165 0.000189977
          25    0.890849    0.891152 0.000182798
          26    0.892491    0.891204 0.000182874
          27    0.890775    0.891188 0.000176789
          28    0.890022    0.891146 0.000175308
          29    0.890636    0.891129 0.000170145
          30    0.891449    0.891139 0.000164808
          31    0.890311    0.891113 0.000161642
          32     0.89121    0.891116 0.000156619
          33    0.891371    0.891123 0.000152065
          34    0.891251    0.891127 0.000147638
          35    0.890098    0.891098  0.00014632
          36    0.890469     0.89108 0.000143295
          37     0.89028    0.891059 0.000141044
          38    0.891335    0.891066  0.00013752
          39    0.891221     0.89107 0.000134051
          40    0.891152    0.891072 0.000130715
          41    0.891362    0.891079 0.000127718
          42    0.892364     0.89111 0.000128288
          43    0.890237    0.891089 0.000126899
          44    0.891057    0.891089 0.000124017
          45    0.890227    0.891069 0.000122728
          46     0.89136    0.891076 0.000120223
          47    0.891791    0.891091 0.000118623
          48    0.891136    0.891092 0.000116156
          49    0.890352    0.891077 0.000114763
          50    0.890548    0.891066 0.000112954
