#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         1.1         1.1           0
           2         1.1         1.1           0
           3         1.1         1.1           0
           4         1.1         1.1           0
           5         1.1         1.1           0
           6         1.1         1.1           0
           7         1.1         1.1 5.63211e-09
           8         1.1         1.1           0
           9         1.1         1.1           0
          10         1.1         1.1 4.71216e-09
          11         1.1         1.1 4.49287e-09
          12         1.1         1.1 4.30159e-09
          13         1.1         1.1 5.84472e-09
          14         1.1         1.1 5.63211e-09
          15         1.1         1.1 5.44113e-09
          16         1.1         1.1 5.26836e-09
          17         1.1         1.1 5.11106e-09
          18         1.1         1.1 4.96705e-09
          19         1.1         1.1 4.83458e-09
          20         1.1         1.1 4.71216e-09
          21         1.1         1.1  4.5986e-09
          22         1.1         1.1 5.50262e-09
          23         1.1         1.1 5.38167e-09
          24         1.1         1.1 5.26836e-09
          25         1.1         1.1 5.16191e-09
          26         1.1         1.1 5.06167e-09
          27         1.1         1.1 4.96705e-09
          28         1.1         1.1 4.87755e-09
          29         1.1         1.1 4.79272e-09
          30         1.1         1.1 4.71216e-09
          31         1.1         1.1 4.63554e-09
          32         1.1         1.1 4.56253e-09
          33         1.1         1.1 4.49287e-09
          34         1.1         1.1  4.4263e-09
          35         1.1         1.1 4.36261e-09
          36         1.1         1.1 4.30159e-09
          37         1.1         1.1 4.24307e-09
          38         1.1         1.1 4.18686e-09
          39         1.1         1.1 4.13284e-09
          40         1.1         1.1 4.08085e-09
          41         1.1         1.1 4.03078e-09
          42         1.1         1.1  3.9825e-09
          43         1.1         1.1 3.93592e-09
          44         1.1         1.1 3.89094e-09
          45         1.1         1.1 3.84746e-09
          46         1.1         1.1 3.80541e-09
          47         1.1         1.1 3.76471e-09
          48         1.1         1.1 3.72529e-09
          49         1.1         1.1 3.68708e-09
          50         1.1         1.1 3.65002e-09
