#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.40362    -3.40362           0
           2    -3.37095    -3.38729   0.0115503
           3    -3.37109    -3.38189  0.00887302
           4    -3.37764    -3.38083   0.0067181
           5    -3.39127    -3.38292  0.00569014
           6    -3.42783     -3.3904   0.0083171
           7    -3.36575    -3.38688  0.00783909
           8    -3.37758    -3.38572  0.00694481
           9    -3.39888    -3.38718  0.00632527
          10     -3.3967    -3.38813  0.00576398
          11    -3.38582    -3.38792  0.00524381
          12    -3.39087    -3.38817  0.00481259
          13    -3.34973    -3.38521  0.00527291
          14    -3.36716    -3.38392  0.00505152
          15    -3.38075    -3.38371  0.00471917
          16    -3.39643    -3.38451  0.00449069
          17    -3.40717    -3.38584  0.00441999
          18    -3.40619    -3.38697  0.00431661
          19    -3.36694    -3.38591  0.00421616
          20    -3.38424    -3.38583  0.00400619
          21    -3.33423    -3.38337  0.00450636
          22    -3.40475    -3.38435  0.00440505
          23    -3.35761    -3.38318  0.00436419
          24    -3.40234    -3.38398  0.00425469
          25    -3.39578    -3.38445  0.00411058
          26    -3.36088    -3.38355  0.00405128
          27    -3.38837    -3.38373  0.00390517
          28    -3.40765    -3.38458  0.00385802
          29    -3.38871    -3.38472  0.00372762
          30    -3.38379    -3.38469  0.00360349
          31    -3.39672    -3.38508  0.00350809
          32    -3.37975    -3.38491  0.00340241
          33    -3.37767    -3.38469  0.00330639
          34    -3.38543    -3.38471  0.00320921
          35    -3.40555    -3.38531  0.00317227
          36    -3.40325    -3.38581  0.00312305
          37    -3.40078    -3.38621  0.00306476
          38    -3.38128    -3.38608  0.00298686
          39    -3.39064     -3.3862  0.00291256
          40    -3.38602     -3.3862  0.00283975
          41    -3.38123    -3.38607  0.00277307
          42    -3.36659    -3.38561  0.00274557
          43     -3.4058    -3.38608  0.00272157
          44    -3.39131     -3.3862  0.00266231
          45    -3.40759    -3.38667  0.00264523
          46    -3.38599    -3.38666  0.00258776
          47     -3.3695    -3.38629  0.00255832
          48    -3.39081    -3.38639  0.00250675
          49    -3.39721    -3.38661   0.0024653
          50    -3.40564    -3.38699   0.0024452
