#   N_BLOCK:  ACCEPTANCE:
           1    0.179644
           2    0.179624
           3     0.17979
           4    0.179824
           5     0.17987
           6    0.179722
           7    0.179764
           8    0.179677
           9    0.179684
          10    0.179567
          11    0.179552
          12    0.179464
          13     0.17945
          14    0.179417
          15    0.179442
          16    0.179463
          17    0.179459
          18    0.179424
          19    0.179339
          20    0.179374
          21    0.179387
          22    0.179416
          23    0.179421
          24     0.17944
          25    0.179435
          26    0.179416
          27    0.179424
          28    0.179438
          29    0.179418
          30    0.179483
          31    0.179497
          32    0.179439
          33    0.179458
          34    0.179429
          35    0.179448
          36    0.179404
          37    0.179375
          38    0.179376
          39    0.179389
          40    0.179412
          41    0.179426
          42     0.17943
          43    0.179445
          44    0.179456
          45     0.17945
          46    0.179432
          47    0.179464
          48    0.179469
          49    0.179502
          50     0.17954
