#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1         1.2         1.2           0
           2         1.2         1.2           0
           3         1.2         1.2           0
           4         1.2         1.2           0
           5         1.2         1.2           0
           6         1.2         1.2 8.60319e-09
           7         1.2         1.2 7.96501e-09
           8         1.2         1.2 7.45058e-09
           9         1.2         1.2 7.02447e-09
          10         1.2         1.2   6.664e-09
          11         1.2         1.2 6.35388e-09
          12         1.2         1.2 6.08337e-09
          13         1.2         1.2 5.84472e-09
          14         1.2         1.2 5.63211e-09
          15         1.2         1.2           0
          16         1.2         1.2           0
          17         1.2         1.2           0
          18         1.2         1.2 4.96705e-09
          19         1.2         1.2 4.83458e-09
          20         1.2         1.2 4.71216e-09
          21         1.2         1.2  4.5986e-09
          22         1.2         1.2 7.10385e-09
          23         1.2         1.2  6.9477e-09
          24         1.2         1.2 6.80142e-09
          25         1.2         1.2 7.30005e-09
          26         1.2         1.2 7.15829e-09
          27         1.2         1.2  7.5873e-09
          28         1.2         1.2 5.63211e-09
          29         1.2         1.2 6.18737e-09
          30         1.2         1.2 6.08337e-09
          31         1.2         1.2 5.35266e-09
          32         1.2         1.2 5.26836e-09
          33         1.2         1.2 5.18792e-09
          34         1.2         1.2  4.4263e-09
          35         1.2         1.2 4.36261e-09
          36         1.2         1.2 4.30159e-09
          37         1.2         1.2 4.24307e-09
          38         1.2         1.2 2.41729e-09
          39         1.2         1.2  2.3861e-09
          40         1.2         1.2 2.35608e-09
          41         1.2         1.2 2.32717e-09
          42         1.2         1.2  3.2517e-09
          43         1.2         1.2           0
          44         1.2         1.2           0
          45         1.2         1.2           0
          46         1.2         1.2           0
          47         1.2         1.2 2.17356e-09
          48         1.2         1.2  2.1508e-09
          49         1.2         1.2 3.01049e-09
          50         1.2         1.2 4.71216e-09
