#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.67577    -6.67577           0
           2    -6.68802     -6.6819  0.00432989
           3    -6.66741    -6.67707  0.00488654
           4    -6.68857    -6.67994  0.00443063
           5    -6.68105    -6.68016  0.00355009
           6    -6.69527    -6.68268  0.00374672
           7    -6.66479    -6.68013  0.00398938
           8    -6.68759    -6.68106  0.00359817
           9    -6.68503     -6.6815  0.00322527
          10    -6.67834    -6.68118  0.00291817
          11    -6.67936    -6.68102  0.00265757
          12    -6.68481    -6.68133   0.0024548
          13    -6.70242    -6.68296  0.00275005
          14    -6.70374    -6.68444  0.00292696
          15    -6.68757    -6.68465  0.00273927
          16    -6.67688    -6.68416  0.00261072
          17    -6.67272    -6.68349   0.0025424
          18     -6.6851    -6.68358  0.00240273
          19    -6.69232    -6.68404   0.0023199
          20    -6.67737    -6.68371  0.00222773
          21    -6.67531    -6.68331  0.00215726
          22    -6.68122    -6.68321  0.00206129
          23    -6.68268    -6.68319   0.0019718
          24     -6.6865    -6.68333  0.00189446
          25    -6.67474    -6.68298  0.00184954
          26    -6.69375     -6.6834  0.00182417
          27    -6.69212    -6.68372  0.00178495
          28    -6.66011    -6.68288  0.00191004
          29    -6.69278    -6.68322  0.00187448
          30     -6.6719    -6.68284  0.00184958
          31    -6.68271    -6.68284  0.00178992
          32    -6.68946    -6.68304  0.00174591
          33    -6.68547    -6.68312  0.00169455
          34    -6.68157    -6.68307  0.00164532
          35    -6.68573    -6.68315  0.00160006
          36    -6.68195    -6.68311  0.00155596
          37    -6.67412    -6.68287  0.00153279
          38    -6.68633    -6.68296  0.00149515
          39    -6.67838    -6.68285  0.00146141
          40    -6.68817    -6.68298  0.00143093
          41    -6.68119    -6.68293   0.0013967
          42    -6.68074    -6.68288  0.00136442
          43    -6.69789    -6.68323  0.00137661
          44    -6.68663    -6.68331  0.00134749
          45    -6.67708    -6.68317  0.00132464
          46    -6.69076    -6.68334  0.00130609
          47    -6.67746    -6.68321  0.00128427
          48    -6.67295      -6.683  0.00127517
          49    -6.67671    -6.68287  0.00125559
          50    -6.66776    -6.68257  0.00126632
