#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.960106    0.960106           0
           2    0.959462    0.959784 0.000227722
           3    0.960527    0.960032 0.000252937
           4    0.959416    0.959878 0.000231798
           5    0.959862    0.959875  0.00018546
           6    0.959075    0.959741 0.000196732
           7     0.96065    0.959871 0.000207054
           8    0.959509    0.959826 0.000186054
           9    0.959597      0.9598 0.000167116
          10    0.959951    0.959815 0.000151084
          11    0.959896    0.959823 0.000137528
          12     0.95962    0.959806   0.0001271
          13    0.958729    0.959723 0.000141753
          14    0.958692    0.959649 0.000149539
          15     0.95946    0.959637 0.000140102
          16    0.960056    0.959663 0.000133773
          17    0.960255    0.959698 0.000130351
          18    0.959607    0.959693 0.000123206
          19    0.959213    0.959668 0.000119281
          20    0.960023    0.959685 0.000114634
          21    0.960105    0.959705   0.0001109
          22     0.95981     0.95971 0.000105961
          23    0.959793    0.959714 0.000101415
          24    0.959596    0.959709  9.7307e-05
          25    0.960132    0.959726 9.48748e-05
          26    0.959179    0.959705 9.35267e-05
          27    0.959235    0.959687 9.16659e-05
          28     0.96091    0.959731 9.82492e-05
          29    0.959217    0.959713 9.64483e-05
          30    0.960247    0.959731   9.486e-05
          31     0.95976    0.959732 9.18047e-05
          32    0.959404    0.959722 8.95069e-05
          33    0.959593    0.959718 8.68799e-05
          34    0.959781     0.95972 8.43442e-05
          35    0.959601    0.959716 8.20027e-05
          36    0.959734    0.959717 7.97263e-05
          37    0.960178    0.959729 7.85409e-05
          38    0.959551    0.959725 7.66146e-05
          39    0.959966    0.959731 7.49008e-05
          40    0.959422    0.959723 7.34261e-05
          41    0.959816    0.959725 7.16701e-05
          42    0.959814    0.959727 6.99949e-05
          43    0.958926    0.959709 7.08048e-05
          44    0.959526    0.959705 6.93178e-05
          45    0.960027    0.959712 6.81463e-05
          46    0.959295    0.959703 6.72638e-05
          47    0.960017    0.959709 6.61636e-05
          48    0.960206     0.95972 6.55898e-05
          49    0.960072    0.959727  6.4645e-05
          50     0.96049    0.959742 6.51293e-05
