#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         0.8         0.8           0
           2         0.8         0.8           0
           3         0.8         0.8           0
           4         0.8         0.8           0
           5         0.8         0.8           0
           6         0.8         0.8           0
           7         0.8         0.8  6.8979e-09
           8         0.8         0.8 5.26836e-09
           9         0.8         0.8 4.96705e-09
          10         0.8         0.8   3.332e-09
          11         0.8         0.8 3.17694e-09
          12         0.8         0.8 3.04169e-09
          13         0.8         0.8 4.13284e-09
          14         0.8         0.8  3.9825e-09
          15         0.8         0.8 4.71216e-09
          16         0.8         0.8 4.56253e-09
          17         0.8         0.8  4.4263e-09
          18         0.8         0.8 4.30159e-09
          19         0.8         0.8 5.40522e-09
          20         0.8         0.8 5.26836e-09
          21         0.8         0.8 5.14139e-09
          22         0.8         0.8 5.50262e-09
          23         0.8         0.8 5.38167e-09
          24         0.8         0.8 5.26836e-09
          25         0.8         0.8 5.16191e-09
          26         0.8         0.8 5.46723e-09
          27         0.8         0.8 5.36503e-09
          28         0.8         0.8 5.26836e-09
          29         0.8         0.8 5.17673e-09
          30         0.8         0.8 5.08972e-09
          31         0.8         0.8 5.00695e-09
          32         0.8         0.8  4.9281e-09
          33         0.8         0.8 4.85285e-09
          34         0.8         0.8 4.78096e-09
          35         0.8         0.8 4.71216e-09
          36         0.8         0.8 4.64625e-09
          37         0.8         0.8 4.58304e-09
          38         0.8         0.8 4.52233e-09
          39         0.8         0.8 4.46398e-09
          40         0.8         0.8 4.40782e-09
          41         0.8         0.8 4.35374e-09
          42         0.8         0.8  3.9825e-09
          43         0.8         0.8 3.21367e-09
          44         0.8         0.8 3.17694e-09
          45         0.8         0.8 2.72057e-09
          46         0.8         0.8 1.55355e-09
          47         0.8         0.8 1.53694e-09
          48         0.8         0.8 1.52084e-09
          49         0.8         0.8 1.50524e-09
          50         0.8         0.8 2.10734e-09
