#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.47577    -5.47577           0
           2    -5.48802     -5.4819  0.00432989
           3    -5.46741    -5.47707  0.00488654
           4    -5.48857    -5.47994  0.00443063
           5    -5.48105    -5.48016  0.00355009
           6    -5.49527    -5.48268  0.00374672
           7    -5.46479    -5.48013  0.00398938
           8    -5.48759    -5.48106  0.00359817
           9    -5.48503     -5.4815  0.00322527
          10    -5.47834    -5.48118  0.00291817
          11    -5.47936    -5.48102  0.00265757
          12    -5.48481    -5.48133   0.0024548
          13    -5.50242    -5.48296  0.00275005
          14    -5.50374    -5.48444  0.00292696
          15    -5.48757    -5.48465  0.00273927
          16    -5.47688    -5.48416  0.00261072
          17    -5.47272    -5.48349   0.0025424
          18     -5.4851    -5.48358  0.00240273
          19    -5.49232    -5.48404   0.0023199
          20    -5.47737    -5.48371  0.00222773
          21    -5.47531    -5.48331  0.00215726
          22    -5.48122    -5.48321  0.00206129
          23    -5.48268    -5.48319   0.0019718
          24     -5.4865    -5.48333  0.00189446
          25    -5.47474    -5.48298  0.00184954
          26    -5.49375     -5.4834  0.00182417
          27    -5.49212    -5.48372  0.00178495
          28    -5.46011    -5.48288  0.00191004
          29    -5.49278    -5.48322  0.00187448
          30     -5.4719    -5.48284  0.00184958
          31    -5.48271    -5.48284  0.00178992
          32    -5.48946    -5.48304  0.00174591
          33    -5.48547    -5.48312  0.00169455
          34    -5.48157    -5.48307  0.00164532
          35    -5.48573    -5.48315  0.00160006
          36    -5.48195    -5.48311  0.00155596
          37    -5.47412    -5.48287  0.00153279
          38    -5.48633    -5.48296  0.00149515
          39    -5.47838    -5.48285  0.00146141
          40    -5.48817    -5.48298  0.00143093
          41    -5.48119    -5.48293   0.0013967
          42    -5.48074    -5.48288  0.00136442
          43    -5.49789    -5.48323  0.00137661
          44    -5.48663    -5.48331  0.00134749
          45    -5.47708    -5.48317  0.00132464
          46    -5.49076    -5.48334  0.00130609
          47    -5.47746    -5.48321  0.00128427
          48    -5.47295      -5.483  0.00127517
          49    -5.47671    -5.48287  0.00125559
          50    -5.46776    -5.48257  0.00126632
