Temp	Mu	Sigma	Acceptance	Energy	
3.000	1.000	1.000	0.63	0.730
3.000	0.327	1.355	0.55	0.511
2.985	0.007	1.341	0.54	0.314
2.970	0.001	1.301	0.53	0.201
2.955	0.000	1.184	0.49	-0.099
2.940	0.000	0.754	0.34	-0.031
2.926	0.000	0.640	0.29	0.223
2.911	0.418	0.776	0.40	-0.216
2.897	0.316	0.682	0.34	-0.041
2.882	0.055	0.733	0.33	0.012
2.868	0.036	1.030	0.44	-0.242
2.853	0.061	1.114	0.47	-0.199
2.839	0.898	0.777	0.59	-0.220
2.825	0.240	1.109	0.48	-0.171
2.811	0.221	1.151	0.49	-0.109
2.797	0.405	0.973	0.46	-0.250
2.783	0.752	1.247	0.58	0.909
2.769	1.190	0.933	0.67	1.409
2.755	1.190	0.933	0.70	1.409
2.741	0.581	1.136	0.53	0.124
2.727	0.117	1.019	0.44	-0.246
2.714	0.199	1.426	0.56	0.763
2.700	0.561	1.352	0.57	0.882
2.687	0.561	1.352	0.67	0.882
2.673	0.008	0.909	0.40	-0.219
2.660	0.005	0.680	0.31	0.119
2.647	0.008	0.835	0.37	-0.149
2.633	0.320	0.939	0.43	-0.254
2.620	0.081	0.785	0.35	-0.085
2.607	0.074	0.810	0.36	-0.118
2.594	0.051	1.145	0.48	-0.151
2.581	0.074	1.082	0.46	-0.220
2.568	0.108	0.986	0.43	-0.249
2.555	0.189	0.983	0.43	-0.251
2.543	0.310	0.599	0.31	0.115
2.530	0.176	0.567	0.27	0.358
2.517	0.103	0.757	0.34	-0.043
2.505	0.182	0.368	0.19	1.253
2.492	0.571	0.629	0.42	-0.286
2.480	1.029	0.556	0.46	-0.209
2.467	1.162	0.876	0.65	0.983
2.455	1.162	0.876	0.73	0.983
2.443	1.162	0.876	0.40	0.983
2.430	1.162	0.876	0.64	0.983
2.418	1.185	0.864	0.64	1.043
2.406	0.570	1.143	0.53	0.114
2.394	0.309	1.065	0.47	-0.203
2.382	0.256	1.203	0.51	-0.002
2.370	0.090	0.844	0.38	-0.166
2.358	0.030	1.157	0.49	-0.148
2.347	0.030	1.157	0.55	-0.148
2.335	0.030	1.157	0.57	-0.148
2.323	0.011	1.144	0.48	-0.163
2.312	0.008	1.457	0.57	0.843
2.300	0.009	1.281	0.52	0.125
2.289	0.327	1.204	0.51	0.026
2.277	0.350	1.495	0.59	1.328
2.266	0.350	1.495	0.64	1.328
2.254	0.094	1.269	0.52	0.089
2.243	0.049	1.068	0.46	-0.228
2.232	0.072	1.225	0.51	-0.024
2.221	0.807	1.097	0.57	0.450
2.210	0.760	0.965	0.54	-0.032
2.199	0.760	0.965	0.62	-0.032
2.188	0.397	1.301	0.54	0.402
2.177	0.177	1.640	0.61	2.250
2.166	0.193	1.739	0.63	3.256
2.155	0.158	1.523	0.58	1.264
2.144	0.106	1.732	0.63	3.124
2.133	0.106	1.732	0.67	3.124
2.123	0.106	1.732	0.66	3.124
2.112	0.159	1.530	0.59	1.374
2.102	0.304	1.776	0.64	4.074
2.091	0.304	1.776	0.67	4.074
2.081	0.325	1.545	0.59	1.647
2.070	0.344	1.653	0.62	2.656
2.060	0.059	1.721	0.62	2.979
2.050	0.059	1.721	0.65	2.979
2.039	0.059	1.721	0.64	2.979
2.029	0.046	1.487	0.57	0.999
2.019	0.068	1.307	0.53	0.210
2.009	0.494	1.172	0.52	0.101
1.999	0.494	1.172	0.58	0.101
1.989	0.783	1.159	0.57	0.613
1.979	0.471	1.081	0.50	-0.111
1.969	0.535	1.205	0.54	0.246
1.959	0.650	1.495	0.61	2.088
1.949	0.392	1.181	0.51	0.016
1.940	0.534	1.293	0.56	0.553
1.930	0.898	1.317	0.62	1.934
1.920	0.857	1.103	0.59	0.584
1.911	0.800	1.330	0.60	1.533
1.901	0.861	1.256	0.60	1.368
1.892	0.393	1.127	0.50	-0.076
1.882	0.419	1.133	0.50	-0.056
1.873	0.118	0.896	0.40	-0.215
1.863	0.157	1.179	0.50	-0.094
1.854	0.177	1.106	0.47	-0.190
1.845	0.101	1.185	0.50	-0.088
1.836	0.129	1.189	0.50	-0.072
1.826	0.101	1.128	0.48	-0.169
1.817	0.048	0.833	0.37	-0.151
1.808	0.062	0.602	0.27	0.327
1.799	0.107	0.741	0.34	-0.021
1.790	0.048	0.782	0.35	-0.078
1.781	0.026	0.760	0.34	-0.040
1.772	0.032	0.656	0.29	0.178
1.763	0.559	0.709	0.43	-0.298
1.755	0.340	0.567	0.31	0.127
1.746	0.257	0.314	0.20	1.187
1.737	0.252	0.424	0.23	0.713
1.728	0.119	0.602	0.28	0.296
1.720	0.177	0.674	0.31	0.082
1.711	0.265	0.446	0.24	0.597
1.703	0.265	0.446	0.15	0.597
1.694	0.496	0.512	0.37	-0.083
1.686	0.754	0.562	0.50	-0.412
1.677	0.476	0.837	0.43	-0.272
1.669	0.333	0.725	0.36	-0.112
1.661	0.300	0.583	0.30	0.159
1.652	0.177	0.369	0.19	1.272
1.644	0.177	0.369	0.15	1.272
1.636	0.646	0.536	0.45	-0.320
1.628	0.735	0.548	0.49	-0.389
1.619	1.240	0.552	0.38	0.382
1.611	1.240	0.552	0.20	0.382
1.603	0.957	0.716	0.59	-0.236
1.595	0.952	0.911	0.61	0.221
1.587	0.952	0.911	0.70	0.221
1.579	1.043	0.922	0.65	0.580
1.571	0.889	0.962	0.59	0.213
1.564	1.062	0.706	0.57	-0.017
1.556	1.107	0.563	0.45	-0.046
1.548	0.997	0.635	0.54	-0.273
1.540	0.686	0.732	0.49	-0.371
1.533	0.686	0.732	0.29	-0.371
1.525	0.674	0.822	0.49	-0.304
1.517	0.498	0.782	0.42	-0.271
1.510	0.516	0.934	0.47	-0.248
1.502	0.821	1.054	0.57	0.312
1.495	0.821	1.054	0.61	0.312
1.487	0.433	1.039	0.48	-0.181
1.480	0.618	1.192	0.55	0.317
1.472	0.383	1.224	0.52	0.116
1.465	0.417	1.213	0.52	0.118
1.458	0.848	1.047	0.58	0.379
1.450	0.882	1.091	0.59	0.634
1.443	0.932	1.084	0.60	0.795
1.436	1.097	1.182	0.66	2.259
1.429	1.097	1.182	0.74	2.259
1.422	1.097	1.182	0.66	2.259
1.414	1.213	0.954	0.67	1.664
1.407	0.847	1.045	0.58	0.354
1.400	0.847	1.045	0.68	0.354
1.393	0.478	0.982	0.47	-0.227
1.386	0.403	0.969	0.45	-0.245
1.379	0.456	1.009	0.48	-0.211
1.373	0.327	1.229	0.52	0.105
1.366	0.320	1.015	0.46	-0.240
1.359	0.353	0.974	0.45	-0.251
