#   N_BLOCK:  ACCEPTANCE:
         100           1
           2           1
           4           1
           1           1
           3           1
           2           1
           5           1
           4           1
           3           1
           6           1
           5           1
           4           1
           7           1
           6           1
           5           1
           8           1
           7           1
           6           1
           9           1
           8           1
           7           1
          10           1
           8           1
           9           1
          11           1
           9           1
          10           1
          12           1
          10           1
          11           1
          13           1
          11           1
          14           1
          12           1
          12           1
          15           1
          13           1
          13           1
          16           1
          14           1
          14           1
          17           1
          15           1
          15           1
          18           1
          16           1
          16           1
          19           1
          17           1
          17           1
          20           1
          18           1
          18           1
          21           1
          19           1
          19           1
          22           1
          20           1
          20           1
          23           1
          21           1
          21           1
          24           1
          22           1
          22           1
          25           1
          23           1
          23           1
          26           1
          24           1
          24           1
          27           1
          25           1
          25           1
          28           1
          26           1
          26           1
          29           1
          27           1
          27           1
          30           1
          28           1
          28           1
          31           1
          29           1
          29           1
          32           1
          30           1
          30           1
          33           1
          31           1
          31           1
          34           1
          32           1
          32           1
          35           1
          33           1
          33           1
          36           1
          34           1
          34           1
          37           1
          35           1
          35           1
          38           1
          36           1
          36           1
          39           1
          37           1
          37           1
          40           1
          38           1
          38           1
          41           1
          39           1
          39           1
          42           1
          40           1
          43           1
          40           1
          41           1
          44           1
          41           1
          42           1
          45           1
          42           1
          43           1
          46           1
          43           1
          44           1
          47           1
          44           1
          45           1
          48           1
          45           1
          46           1
          49           1
          46           1
          47           1
          50           1
          47           1
          48           1
          51           1
          48           1
          49           1
          52           1
          49           1
          50           1
          53           1
          50           1
          51           1
          54           1
          51           1
          52           1
          55           1
          52           1
          53           1
          56           1
          53           1
          54           1
          57           1
          54           1
          55           1
          58           1
          56           1
          55           1
          59           1
          57           1
          56           1
          60           1
          58           1
          57           1
          61           1
          59           1
          58           1
          62           1
          60           1
          59           1
          63           1
          61           1
          60           1
          64           1
          62           1
          61           1
          65           1
          63           1
          62           1
          66           1
          64           1
          63           1
          67           1
          65           1
          68           1
          64           1
          66           1
          69           1
          65           1
          67           1
          70           1
          66           1
          68           1
          71           1
          67           1
          69           1
          72           1
          68           1
          70           1
          73           1
          69           1
          71           1
          74           1
          70           1
          72           1
          75           1
          71           1
          73           1
          72           1
          76           1
          74           1
          77           1
          73           1
          75           1
          74           1
          78           1
          76           1
          75           1
          79           1
          77           1
          76           1
          80           1
          78           1
          77           1
          81           1
          79           1
          78           1
          82           1
          80           1
          79           1
          83           1
          81           1
          80           1
          84           1
          82           1
          81           1
          85           1
          83           1
          82           1
          86           1
          84           1
          83           1
          87           1
          85           1
          84           1
          88           1
          86           1
          85           1
          89           1
          87           1
          86           1
          90           1
          88           1
          87           1
          91           1
          89           1
          88           1
          92           1
          90           1
          89           1
          93           1
          91           1
          90           1
          94           1
          92           1
          91           1
          95           1
          93           1
          92           1
          96           1
          94           1
          93           1
          97           1
          95           1
          94           1
          98           1
          96           1
          95           1
          99           1
          97           1
          96           1
         100           1
          98           1
          97           1
          99           1
          98           1
         100           1
          99           1
         100           1
