#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         100     2.02343     1.94147  0.00841823
           2     1.42711      1.4262 0.000645786
           4     1.59076     1.58136  0.00297293
           1     1.27526     1.27526           0
           3     1.43126     1.42789  0.00144253
           2     1.27688     1.27607 0.000573835
           5     1.60657      1.5864  0.00509746
           4     1.43887     1.43063  0.00261164
           3     1.28052     1.27755  0.00127038
           6     1.63677      1.5948  0.00876215
           5     1.45224     1.43495   0.0043946
           4     1.28706     1.27993  0.00226883
           7     1.66378     1.60465   0.0118173
           6     1.47673     1.44192  0.00733562
           5     1.29827      1.2836  0.00374885
           8     1.70954     1.61776   0.0160416
           7     1.51036     1.45169   0.0110213
           6     1.31782      1.2893  0.00607173
           9     1.73186     1.63044   0.0186056
           8     1.54139     1.46291   0.0142478
           7     1.35258     1.29834  0.00985562
          10     1.76378     1.64378    0.020986
           8     1.37264     1.30763   0.0122411
           9     1.57146     1.47497   0.0170211
          11     1.78157      1.6563   0.0225086
           9     1.41709     1.31979   0.0158078
          10      1.6039     1.48786    0.019603
          12     1.78393     1.66694   0.0230087
          10     1.44169     1.33198   0.0183345
          11      1.6352     1.50126   0.0219246
          13     1.79699     1.67694   0.0233124
          11     1.46972      1.3445   0.0205025
          14     1.82788     1.68772   0.0240112
          12     1.63607     1.51249   0.0227948
          12     1.48398     1.35613   0.0218416
          15     1.82001     1.69654   0.0239754
          13     1.63174     1.52166   0.0228125
          13     1.48705      1.3662   0.0223632
          16     1.83585     1.70525   0.0240059
          14     1.66341     1.53179   0.0233218
          14     1.49677     1.37552   0.0226273
          17     1.84912     1.71371   0.0240392
          15     1.68055     1.54171   0.0237825
          15     1.52298     1.38535    0.023156
          18     1.84044     1.72075   0.0237123
          16      1.6747     1.55002   0.0237043
          16     1.52171     1.39388   0.0232241
          19     1.85497     1.72782    0.023493
          17     1.68863     1.55817   0.0236708
          17     1.54134     1.40255   0.0234219
          20     1.85534     1.73419   0.0231675
          18     1.70159     1.56614   0.0236587
          18     1.54262     1.41033   0.0233777
          21     1.87759     1.74102   0.0230487
          19     1.68992     1.57265   0.0232933
          19     1.54664     1.41751   0.0232219
          22     1.88914     1.74775   0.0229633
          20     1.71498     1.57977   0.0231902
          20     1.55347      1.4243   0.0230345
