#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         100     1.34896     1.29431  0.00561215
           2    0.951409    0.950801 0.000430524
           4     1.06051     1.05424  0.00198195
           1    0.850171    0.850171           0
           3    0.954173    0.951925 0.000961684
           2    0.851253    0.850712 0.000382557
           5     1.07104      1.0576  0.00339831
           4    0.959244    0.953755  0.00174109
           3     0.85368    0.851702 0.000846921
           6     1.09118      1.0632  0.00584143
           5    0.968163    0.956636  0.00292973
           4    0.858042    0.853287  0.00151256
           7     1.10919     1.06977  0.00787817
           6    0.984487    0.961278  0.00489042
           5    0.865511    0.855731  0.00249923
           8     1.13969     1.07851   0.0106944
           7      1.0069    0.967796  0.00734752
           6    0.878545    0.859534  0.00404782
           9     1.15457     1.08696   0.0124037
           8     1.02759    0.975271  0.00949853
           7    0.901721     0.86556  0.00657041
          10     1.17585     1.09585   0.0139906
           8    0.915094    0.871752  0.00816075
           9     1.04764    0.983312   0.0113474
          11     1.18771      1.1042   0.0150057
           9    0.944727     0.87986   0.0105385
          10     1.06927    0.991907   0.0130687
          12     1.18929     1.11129   0.0153392
          10     0.96113    0.887987    0.012223
          11     1.09013     1.00084   0.0146164
          13     1.19799     1.11796   0.0155416
          11    0.979814    0.896335   0.0136683
          14     1.21859     1.12515   0.0160075
          12     1.09071     1.00833   0.0151965
          12    0.989322    0.904084   0.0145611
          15     1.21334     1.13103   0.0159836
          13     1.08783     1.01444   0.0152084
          13    0.991368    0.910798   0.0149088
          16      1.2239     1.13683   0.0160039
          14     1.10894     1.02119   0.0155479
          14    0.997847    0.917016   0.0150848
          17     1.23274     1.14247   0.0160262
          15     1.12037      1.0278    0.015855
          15     1.01532     0.92357   0.0154373
          18     1.22696     1.14717   0.0158082
          16     1.11647     1.03335   0.0158028
          16     1.01447    0.929251   0.0154827
          19     1.23665     1.15188    0.015662
          17     1.12576     1.03878   0.0157805
          17     1.02756    0.935034   0.0156146
          20     1.23689     1.15613    0.015445
          18     1.13439     1.04409   0.0157725
          18     1.02842    0.940222   0.0155851
          21     1.25173     1.16068   0.0153658
          19     1.12661     1.04844   0.0155288
          19     1.03109    0.945004   0.0154813
          22     1.25943     1.16517   0.0153089
          20     1.14332     1.05318   0.0154601
          20     1.03565    0.949537   0.0153563
          23     1.27053     1.16975   0.0153133
          21     1.14138     1.05738   0.0152837
          21      1.0416    0.953921    0.015238
